Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Rinaldi A., Caon M., Khaled O.A., Mugellini E.","55189712500;36163969400;8987146800;8987147000;","Designing urban smart furniture for facilitating migrants’ integration: The co-design workshop as approach for supporting inclusive design",2019,"Advances in Intelligent Systems and Computing","824",,,"461","470",,3,"10.1007/978-3-319-96071-5_49","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052318462&doi=10.1007%2f978-3-319-96071-5_49&partnerID=40&md5=f23558d02562732c171bc4d8c83774f0","European cities are changing due the immigration of people from different cultures. There are many issues related to the integration and dialogue between cultures. Urban design plays a key role in how migrants participate in their host community and it is an important driver for the inclusion process. Facilitating the participation of residents in designing public spaces and their use helps to create a better sense of belonging. Promoting in public spaces the interaction of different cultures becomes a crucial element to facilitate social cohesion and living together. The research project explores an innovative approach in the use of public spaces, through the design of smart urban furniture. Based on a survey of the user’s needs, and on co-design activities, the project investigates innovative solutions for facilitating migrants’ integration and the dialogue between different cultures, through the design of innovative urban furniture, with smart technologies embodied inside. The project, based on the co-design approach of rapid prototyping, creates different kinds of new interaction among urban space and people, and between users of different social or cultural background. The results presented in this paper, were conducted by the research unit of the University of Florence, in cooperation with the Human Tech Institute and the School of Management of the University of Applied Sciences and Arts Western Switzerland. © Springer Nature Switzerland AG 2019.","Human-centred design; New technologies; Public space design",Conference Paper,"Final","",Scopus,2-s2.0-85052318462
"Roberts A.C., Christopoulos G.I.","55464772500;57203637578;","Comment on “Using functional Magnetic Resonance Imaging (fMRI) to analyze brain region activity when viewing landscapes”",2018,"Landscape and Urban Planning","172",,,"25","28",,3,"10.1016/j.landurbplan.2017.12.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040710394&doi=10.1016%2fj.landurbplan.2017.12.006&partnerID=40&md5=c8379dba562191d83b14adebea7596ed","Modern neuroscience methods, such as functional Magnetic Resonance Imaging (fMRI), offer the unparalleled opportunity to monitor the human brain in vivo − a revolution that has had a tremendous impact on many disciplines (economics, culture, health). Thus, the paper by Tang et al. (2017) is an exciting epistemological step introducing this technology and the possibilities for those studying the health effects of landscapes. Yet, as in similar interdisciplinary efforts there are always risks: questions are very general or results are misinterpreted. The present commentary aims, using examples and a simple but rigorous language, to help the audience of Landscape and Urban Planning understand the basic principles of fMRI and neuroscience methods We end up with a call to landscape researchers and others studying how environments can affect people's mental health and well-being to boldly be involved in this exciting interdisciplinary effort to help neuroscientists understand how the brain works. © 2017","Brain imaging; fMRI; Human health and well-being; Landscape research; Methods; Neuroscience",Note,"Final","",Scopus,2-s2.0-85040710394
"Knapp C.E.","57194971978;","Constructing the dynamo of dixie: Race, urban planning, and cosmopolitanism in chattanooga, tennessee",2018,"Constructing the Dynamo of Dixie: Race, Urban Planning, and Cosmopolitanism in Chattanooga, Tennessee",,,,"1","263",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057369634&partnerID=40&md5=c902152f635f0b6ec72c9cbfd230a1aa","What can local histories of interracial conflict and collaboration teach us about the potential for urban equity and social justice in the future? Courtney Elizabeth Knapp chronicles the politics of gentrification and culture-based development in Chattanooga, Tennessee, by tracing the roots of racism, spatial segregation, and mainstream ""cosmopolitanism"" back to the earliest encounters between the Cherokee, African Americans, and white settlers. For more than three centuries, Chattanooga has been a site for multiracial interaction and community building; yet today public leaders have simultaneously restricted and appropriated many contributions of working-class communities of color within the city, exacerbating inequality and distrust between neighbors and public officials. Knapp suggests that ""diasporic placemaking""-defined as the everyday practices through which uprooted people create new communities of security and belonging-is a useful analytical frame for understanding how multiracial interactions drive planning and urban development in diverse cities over time. By weaving together archival, ethnographic, and participatory action research techniques, she reveals the political complexities of a city characterized by centuries of ordinary resistance to racial segregation and uneven geographic development. © 2018 The University of North Carolina Press. All rights reserved.",,Book,"Final","",Scopus,2-s2.0-85057369634
"Eisenman T.S., Murray T.","53464657300;55540214100;","An integral lens on Patrick Geddes",2017,"Landscape and Urban Planning","166",,,"43","54",,3,"10.1016/j.landurbplan.2017.05.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028962604&doi=10.1016%2fj.landurbplan.2017.05.011&partnerID=40&md5=2b512f58aaf9bc03683da1ceff105bc8","Patrick Geddes is a significant figure in the landscape and urban planning canon. In addition to situating cities within a regional context and advancing a socioecological understanding of urbanization, he viewed cities as the principal artifact of, and theater wherein, human culture evolves. This expansive view of cities may be one of the more challenging aspects of Geddes’ legacy to assimilate. Working during a late 19th and early 20th century period when the limitations of modernity were becoming increasingly apparent, much of Geddes’ aspirational thinking can be seen as an effort to create what he described as a “larger modernism.” In this regard, Geddes can be counted amongst those whom we portray as integrative holistic thinkers, people whose worldview draws them toward meaning-making narratives and frameworks that include the many dimensions of the human condition. Today, a new generation of holistic approaches called “metatheories” – and “integral theory” in particular – provides an orienting lens through which to review, assess, and potentially extend the work of Geddes in the 21st century. Towards that goal, this article first provides an introductory primer to some of Geddes’ noteworthy “thinking machines” as well as integral theory. We then assess correspondence between the two, focusing on Interdisciplinary Holism; Evolution, Development and Complex Systems; Human Agency and Ethics; and Spirituality. A closing discussion addresses prospects for future research, and suggests that the holistic, evolutionary, and generative orientation of our principal subjects may have particular relevance in an anthropogenic biosphere characterized, in part, by significant environmental challenges and the concentration of humans in cities. © 2017 Elsevier B.V.","Anthropocene; Anthropogenic biosphere; Cities; Integral theory; Landscape and urban planning; Metatheories; Patrick Geddes; Sociocultural evolution; Socioecological planning; Urbanization",Article,"Final","",Scopus,2-s2.0-85028962604
"Lantitsou K.I.","55524278800;","Eco-development and environmental spatial planning",2017,"Fresenius Environmental Bulletin","26","2",,"1291","1300",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047363465&partnerID=40&md5=2625804fd1d69ceb8e7c69d42cc863e5","Development is directly related to the spatial planning (regional and urban). Nowadays, humanity faces a multidimensional crisis, socio-economic crisis, cultural crisis, which is directly related to the environmental one. In the last few decades, the current development model has been questioned by international organizations and scientists of various specializations. Sustainable development or ecodevelopment approaching interdisciplinary the problem explores the exit from the socio-economic and environmental crisis. The purpose of this study is to comprehensively examine the contents of ecodevelopment and to express it in simple words, so as to be understood by people. In particular, it aims to review and clarify the concept of eco-development, defining its content in its entirety, considering it together with the role of spatial planning (regional and urban) and suggesting methods of organization of society, to provide better quality of life and achieve the exit from the crisis. A need to create a new model based on the concept of ecosystem arises from the research, where the laws of nature and culture of each place will be seriously considered in formulating development policy. A key-element for ecological spatial planning is the carrying capacity of ecosystems. The aim of spatial planning appears to be the sustainability of natural systems in order to be able to sustain and supply the anthropogenic systems, meeting the 'real' human needs. For the implementation of these and the exit from the crisis of utmost importance the role of education is highlighted in creating active citizens, who are required to undertake, through self-organization [1, 2], to promote eco-development and eco-design. © 2017 PSP.","Eco-development; Environment; Spatial planning (regional, urban)",Article,"Final","",Scopus,2-s2.0-85047363465
"Sepe M., Pitt M.","16022832400;15838056200;","Urban branding and place as a quality product: innovations in the urban experience",2017,"Journal of Facilities Management","15","1",,"2","14",,3,"10.1108/JFM-10-2016-0042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019693885&doi=10.1108%2fJFM-10-2016-0042&partnerID=40&md5=0bb7a9eed75a151a34c949d3ebf69ab4","Purpose: Starting from these premises, the aim of the paper is illustrating the role of experience in urban regeneration projects and to explore how the experience of high quality product luxury places can be sustainable with existent place identity or new place identity to be suitably created. Design/methodology/approach: The experience of a place may become an integral part of a product experience. The enhancement of products (Splendiani, 2013): assumes a meaning which goes beyond the simple sale of material goods. It covers the supply of complex experiences … enriched by intangible elements capable to stimulate and involve the sensory and experiential component of consumption. It deals with attracting people to the places where local products are made by inserting the products in the most extensive offers covering the entire territorial system of reference The experience may also be used for the spectacolarisation of a place and its commercialisation, as in the case of “brandscapes” (Klingman, 2007). In this case, it is important not to clone every place everywhere because they could inevitably resemble each other without be able to really engage the people who move into them (Lehtovuori, 2010). The methodology approach is based on a wide bibliography and internet research based on the main terms connected to the topics of the paper, including experience, place identity, quality product, regeneration; on case studies – even though not illustrated – concerning places of interest for the research topics, such as: Hafencity in Hamburg, the Albert Dock in Liverpool, Abondaibarra area in Bilbao. Findings: The planning of places of quality product cannot be separated from interpretation of the territory as a cultural system resulting from an ensemble of historical, economic and social processes. In such a system, the contribution of the cultural factor must be considered propulsive, not only for its qualitative meaning but also, and especially, for the role of “trait d’union” of a number of actions taken to protect and enhance places. Originality/value: The increasing importance of the use of experience in the urban regeneration process is leading cities to be involved in constructing suitable images and symbols of their transformed areas to meet the new trends, also according with luxurious ones. Even though globalisation is one of the main dangers in innovative itineraries, the proper planning of quality architecture and public spaces could prevent it by creating a suitable mix between innovation and culture. © 2017, © Emerald Publishing Limited.","Place; Quality products; Urban branding; Urban design; Urban experience; Urban regeneration",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85019693885
"Kuroishi I.","56162454200;","Urban survey and planning in twentieth-century Japan: Wajiro Kon's ""Modernology"" and its descendants",2016,"Journal of Urban History","42","3",,"557","581",,3,"10.1177/0096144216635151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968833661&doi=10.1177%2f0096144216635151&partnerID=40&md5=9d47533cd09199c0d0dad75061b4bf2c","Since the nineteenth century, the survey of people's way of life were the basic method to study big cities. Even though the surveys were motivated by social awareness, the result was mainly analyzed by scientific, political and economical interests, and often was devided from the cultural and psychological research of urban phenomena. However, as it is obvious that these are closely integrated, the method and idea of the urban survey reflect the bilateral relationship between perceiving and conceiving urban space. This study will explain how urban surveys transformed and reflected the ideas and interests in urban space and its study in Japan from the end of the nineteenth century to the 1980s. Especially in examining a research named ""Modernology"" by a Japanese architect Wajiro Kon from 1925 to 1930, and the works of later Japanese architects inspiered by ""Modernology"" after 1960s, this study will explain how they tried to create urban studies with cultural identity by conducting surveys and integrating with international theories. ""Modernology""described the emerging urban space and people's way of life in Tokyo, and was often recognized as a method of popular culture. However, Modernology represented critical aspects of social space and encouraged people to be more engaged with it. While modernist architects distanced from urban realities to solve its problems scientifically, Modernology was often recognized as their counter part. When we recognize its primal objectives and influence on later generation in seeking the social ethos in the dialectical progress with the bilateral approaches between surveying and planning, we can understand the alternative aspect of Japanese urban studies. ©The Author(s) 2016.","anthropology; Christopher Alexander; Design Survey; everyday phenomena; fashion; idea of urban space; Konpeito and Iryuhin Kenkyujo; lifestyle; marketing theory; Modernology; Patrick Geddes; social survey; Street Observation Society; Tokyo; visual description; Wajiro Kon",Article,"Final","",Scopus,2-s2.0-84968833661
"Wang F.","57190386822;","Geo-architecture and landscape in China’s geographic and historic context: Volume 4 symbolism and the language of geo-architecture",2016,"Geo-Architecture and Landscape in China's Geographic and Historic Context: Volume 4 Symbolism and the Language of Geo-Architecture",,,,"1","233",,3,"10.1007/978-981-10-0492-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979584479&doi=10.1007%2f978-981-10-0492-6&partnerID=40&md5=169fbf864c220c9b1544ec2a66e613df","This book approaches the concept of geo-architecture by analyzing the symbolic characters of architectures. It proves that the relationship between architecture and geography is not merely an embodiment of physical and functional demands but rather a formal expression of the materialization of culture. After analyzing the vast number of villages, groups of buildings and individual buildings the forms of which closely resemble the forms of the Bagua (symbol of the Eight Trigrams), Taichi, animals and plants, this book finds that this kind of symbolism creatively places living and working places within the natural geographic environment and, by seeking a relationship between architecture and its surrounding environment, comes to express people’s hopes and dreams, evolving slowly to take on certain cultural connotations. This book is the fourth of a 4-volume book series. The series develops the innovative concept of “geo-architecture” by exploring the myriad influences of natural, human and historical factors upon architecture. These influences are considered in three categories, namely, interaction between architecture and nature, interaction between architecture and its human users and change in architecture over time--each category serves as a lens. Augmenting these lenses is the Time-Person-Place concept applied different geographic. The analysis ultimately focuses on two aspects: geographic influence on architecture and architectural response to geography. The over 1000 pictures of case architectures enriches the study with stunning and unique visual angles. ""This unprecedented work will be a unique and valuable contribution to the literature. Integrating as it does the disciplines of architecture, landscape architecture, and geography, Wang Fang’s voice is original, compelling, and will be much appreciated by English-speaking readers (and inside China, too, I can only imagine.)""Stephen M Ervin Assistant Dean Graduate School of Design, Harvard University July 2nd, 2013 ""One reason for why there would be interest is because her research would fill some significant gaps in the literature.What is novel about Dr. Wang’s series is that she further extends this intellectual project of looking at Chinese architecture through Chinese eyes, by taking it one provocative step further.""Annette M. Kim Associate Professor Department of Urban Studies and Planning, M.I.T. July 1st, 2013. © Springer Science+Business Media Singapore 2016.",,Book,"Final","",Scopus,2-s2.0-84979584479
"Qian Z.","35280616000;","From the First Five-Year Plan to the Cultural Revolution: the pre-reform urban transformation of Hangzhou, China",2015,"Planning Perspectives","30","4",,"571","595",,3,"10.1080/02665433.2014.995694","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941168613&doi=10.1080%2f02665433.2014.995694&partnerID=40&md5=ee3410eb76bc1d6ec21127766f9650da","Pre-reform Chinese cities base their uniqueness in urban transformation on Mao's duality of utopian and revolutionary ideals and pragmatic and economized approaches in practice. Through the lens of urban economy, population management, and city planning, this paper examines China's pre-reform urban transformation. By the case study of Hangzhou, this research reveals that urban development was driven by a diverse set of forces devised by the communist state to configure the urban conditions and control people's daily lives in pursuit of radical socialist goals. The controls from the state and other pertinent forces led to the actual outcomes of political-economic ambitions and spatial policy rhetoric. It was an inherent feature of the society and economy to go outside of the state's controls, and the unintended consequences were unavoidable. The state had to revise their strategies, the outcomes of which were again to be tested by time. An iterative process determined the urban transformation of Chinese cities. © 2015 Taylor & Francis.","China; Planning; Planning history; Urban design",Article,"Final","",Scopus,2-s2.0-84941168613
"Ai He H., Memarovic N., Sabiescu A., De Moor A.","56278551300;39961776100;35223855000;7004943182;","CulTech2015: Cultural diversity and technology design",2015,"ACM International Conference Proceeding Series","27-30-June-2015",,,"153","156",,3,"10.1145/2768545.2768561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956662163&doi=10.1145%2f2768545.2768561&partnerID=40&md5=18d28478591ee2b247ba11b1ce6d97d7","With globalization and technological advances, people are increasingly coming into contact with others from different cultural backgrounds, particularly in place-based and virtual communities. Yet, cultural diversity - the diversity of community members' cultural backgrounds - offers both significant benefits and challenges in the design, usage and evaluation of technologies. In this one-day workshop, we explore the role of cultural diversity in potentially informing, supporting, challenging or impacting the design of Information and Communications Technology (ICT) within community contexts. To delve into this complex and multi-faceted space, we welcome workshop submibions that 1) engage broadly with the role of culture within technology design and usage for, with and by communities, as well as 2) proposals for approaches, tools, conceptual and methodological frameworks, case studies and best practices in community-based design that exploit cultural diversity as an abet and seek to encourage intercultural interactions. Our goal is to bring together academics and practitioners from different domains such as computer science, urban design, interactive art, anthropology and social sciences who share a common interest in exploring the design space of ICTs, culture and communities. Copyright © 2015 ACM.","Community-based design; Cultural differences; Cultural diversity; Intercultural communication",Conference Paper,"Final","",Scopus,2-s2.0-84956662163
"İnce Güney Y.","56487973500;","Gender and urban space: An examination of a small anatolian city [Toplumsal cinsiyet ve kamusal mekan: Bir Anadolu kenti incelemesi]",2014,"A/Z ITU Journal of the Faculty of Architecture","11","2",,"153","172",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921365871&partnerID=40&md5=751a02f478b568b44e817185e28d0450","Public spaces can be defined as places of interaction, social encounter and exchange where groups with different interests converge. Accessible and open to everyone, they are designed for a variety of uses where people can participate in public life. They also contribute to the collective identity of the community as they represent the culture and values of its users. In recent decades, the different ways in which public spaces are used have been the subject of studies from different disciplines including but not limited to anthropology, geography, sociology, architecture, and urban planning. It has been argued that the way in which urban life is lived and experienced changes according to demographics of its users such as age, sex, and social class.In this study, the use of public spaces based on gender differences is analyzed using space syntax methodology. The context of the study is the city center of a small Anatolian town, Balikesir, which is located in western Turkey. The methodology of the study includes a visibility analysis of the historic city center and pedestrian movement observations on the selected locations within this center. The results indicate that male users dominate the city center at all times while the density of women users is much lower, and is even lower than that of teenagers. A major contribution of this study is the finding that there is a discrepancy between the most integrated streets in terms of visibility and the most densely used ones. Given that the users of this small Anatolian town are mostly its residents, this finding suggests that for route-choice decisions,pedestrians utilize prior knowledge and experience of the city center more than the visual information provided to them via the geometry of the space. © 2014, Istanbul Teknik Universitesi, Faculty of Architecture. All rights reserved.","Balikesir; Gender; Space syntax; Urban space; Visibility",Article,"Final","",Scopus,2-s2.0-84921365871
"Diekmann A.","6603724452;","Ethnic tourism: Who is exotic for whom?",2013,"The Routledge Handbook of Cultural Tourism",,,,"346","353",,3,"10.4324/9780203120958","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978445133&doi=10.4324%2f9780203120958&partnerID=40&md5=e66c6092092c4bb77f4a3977e293b3df","In the last two decades, urban tourism shifted from a heritage-focused supply to a broader offer (Maitland and Newman 2009). While ‘traditional’ urban tourism was concentrated mainly in and around historic city centres, the diversification of urban tourism has integrated new quarters and areas previously ignored by visitors. As Hoffman explains ‘the differentiation of formerly standardized markets has valorized multiculturalism and diversity, giving rise to new forms of cultural capital and creating interest in formerly unattractive places’ (Hoffman 2003b: 92). The underlying idea of such policies was to develop disadvantaged areas and regenerate them through the creation of tourism activities (Zukin 1998), but also to demonstrate how inclusive and cosmopolitan a city can be (Shaw 2007). These developments concerned mainly former industrial areas and districts with a high rate of migrants shaping a city of quarters (Roodhouse 2006) allowing tourists to choose à la carte according to their interests. Myriad tourism assets could thus be created from art studios over fashion districts to ethnic markets and, in extreme cases, to slum tourism. So-called ‘ethnic quarters’ became in many cities an interesting asset for tourism authorities (Rath 2007). Chinese quarters, Little Italys or Little Indias were promoted as a means of encountering the exotic. Indeed, ethnic quarters represent enclaves with an extensive variety of linguistic, religious, family and friendship entities. On the one hand they play the role of important storehouses of heritage that are often in the process of disappearing in developing ‘home’ countries abroad (Smith and Maryann 2001). On the other hand they embody a melting pot of many different cultures, composed of locals, immigrants, residents and users (Chang 1999). Many ethnic quarters grew indeed through the settlement of migrant workers in impoverished areas with little or no urban planning. However, as soon as the community members could afford to settle in a wealthier area they left the district. What remained were the shops and specialised service providers offering specific cultural goods and providing the opportunity of social exchange and contacts with other community members. Very important in that context is the food and beverages supply for being often emphasised by the tourism promotion as clusters of exotic restaurants (Conforti 1996; Trevor and Monder 2003; Selby 2004). These commercial ethnic belts (McLaughlin and Jesilow, 1998) attract community members, allowing them to distinguish themselves from the host country for a limited time and reafirming their identities (Diekmann and Maulet 2009). However, the movement of people out of the district exacerbates the already problematic situation (dilapidated housing, high unemployment and high rates of crime) of the area. In fact, new migrants from other countries settle in the dilapidated area following the same path as their predecessors and generating a multicultural melting pot. Moreover, as highlighted by Hoffman, these areas are frequently characterised by a distinct “ghetto’ economy, social/spatial isolation and exclusion, negatively perceived culture, political patronage and social policies (Hoffman 2003b: 105). While Hoffman distinguishes this state as being a Fordist concept, it is indeed in many countries valid as long as regeneration has not been considered for the district under scrutiny. One regeneration process is tourism development. Yet, the type of development depends to a large extent on the geographical situation and connections to the main tourism clusters and urban spaces. The chapter examines the concept of ethnic tourism by highlighting the ambivalence in promoting specific cultural communities as exotic to the ‘tourist community’, and in that ‘excluding’ a whole group of (potential) consumers, that often constitute the majority of visitors. Findings from a recent survey led in the sub-Saharan African precinct Matonge in Brussels will highlight the signi?cance of community visitors. Moreover, the chapter will look into the promotional policies and how the tourism mediation shapes the communities and stakeholders in the development process, focusing on several examples. © 2013 Melanie Smith and Greg Richards.",,Book Chapter,"Final","",Scopus,2-s2.0-84978445133
"Freire-Medeiros B.","25723115000;","Touring poverty",2013,"Touring Poverty",,,,"1","202",,3,"10.4324/9780203840719","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917052652&doi=10.4324%2f9780203840719&partnerID=40&md5=ae2c8fa68909dccb0885b02dad495d4d","Touring Poverty addresses a highly controversial practice: the transformation of impoverished neighbourhoods into valued attractions for international tourists. In the megacities of the Global South, selected and idealized aspects of poverty are being turned into a tourist commodity for consumption.The book takes the reader on a journey through Rocinha, a neighbourhood in Rio de Janeiro which is advertised as ""the largest favela in Latin America"". Bianca Freire-Medeiros presents interviews with tour operators, guides, tourists and dwellers to explore the vital questions raised by this kind of tourism. How and why do diverse social actors and institutions orchestrate, perform and consume touristic poverty? In the context of globalization and neoliberalism, what are the politics of selling and buying the social experience of cities, cultures and peoples?With a full and sensitive exploration of the ethical debates surrounding the ‘sale of emotions’ elicited by the first-hand contemplation of poverty, Touring Poverty is an innovative book that provokes the reader to think about the role played by tourism– and our role as tourists– within a context of growing poverty. It will be of interest to students of sociology, anthropology, ethnography and methodology, urban studies, tourism studies, mobility studies, development studies, politics and international relations. © 2013 Bianca Freire-Medeiros.",,Book,"Final","",Scopus,2-s2.0-84917052652
"Willis P.","7102962940;","Sým-bolon: Symbol-action-context",2010,"Ethnography","11","1",,"3","23",,3,"10.1177/1466138109347008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950529780&doi=10.1177%2f1466138109347008&partnerID=40&md5=3d52f958a92f0401ce7a3a3c59ddfec5","The Greek roots for the word symbol are sým (thrown) and bolon (together). In the recent idealized and abstract turn of the social sciences towards 'discourse', it has been forgotten how in their production meanings carried by symbols are precisely thrown together with material, social, and interactive circumstances. Urban ethnographers are well equipped to see the signifier not as 'free-floating' but as always engaged - through its intransigent opacities as well as its transparent relevancies - in socially situated context and social action as it finds its signified. Utilizing examples from my own ethnographic work, this article presents an urban and class-specific view of how symbols are thrown together with the circumstances of material want, social pressure, and ideological abjection suffered by young people at the bottom of social space in deprived urban areas. The struggle for survival here produces cultural forms and meanings which are no less creative and complex than the recognized formal creations of 'art' but are formed in quite different ways under pressure and compression, rather than in 'choice' and 'freedom'. © The Author(s), 2010.","Class; Class culture; Ethnography; Method; Semiotics; Urban studies",Article,"Final","",Scopus,2-s2.0-77950529780
"Jackson M.R.","56111343400;","Toward diversity that works: Building communities through arts and culture",2009,"Twenty-First Century Color Lines: Multiracial Change in Contemporary America",,,,"220","234",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900975795&partnerID=40&md5=68e0253471539f1f06682ec338f06493","Cities, neighborhoods, college campuses, and even businesses often herald diversity-the tolerance and celebration of difference-as a selling point, making the case that it broadens perspectives, enriches lives, promotes compassion and even leads to innovation. But just what does it take to have diversity, particularly racial and ethnic diversity, in a context where racial and ethnic groups have been divided by racism, discrimination, competition for resources, and fear of change? How can tolerance and celebration of difference that leads to compassion and innovation thrive in such a context? Within urban planning and related fields, concern for fostering racial and ethnic diversity has resulted typically in attention to eradicating housing segregation and redistributing wealth and economic opportunity (Cashin 2004; De Souza Briggs 2005; Rawlings et al. 2004). While these are areas that warrant analysis and action, not enough attention has been paid to understanding or affecting the actual processes by which people express or work to change racial ethnic dynamics within and among different groups. Much of this is being achieved through arts and cultural participation. This chapter uses examples of arts and cultural activity in communities around the United States to discuss how arts and cultural activity-through which people affirm, preserve, challenge, and transform racial ethnic identity and dynamics-is a precondition for true diversity, the tolerance and celebration of difference, and how that precondition is being achieved on the ground. Based on these examples, the chapter also discusses important implications for urban planners and policymakers concerned with efforts to create more equitable and diverse communities. My ultimate argument is that, without consideration for and inclusion of arts and cultural activity, such efforts are inherently flawed. I draw in my discussion from a decade of research on the presence and roles of arts and cultural activity in many different types of communities around the United States, including moderate- and low-income neighborhoods, communities of color, and immigrant communities. This research has included participant observation in cultural events, hundreds of interviews, and scores of focus group discussions with neighborhood residents, community leaders, artists, people who run cultural organizations and others involved in a range of community institutions. The research-which focuses always on the kinds of cultural activity that people value in their communities and the reasons why these are valued- is being done by the Arts and Culture in Communities Project (ACIP).1 Before launching into a discussion about how cultural participation contributes to diversity in communities, a few words are in order about how we interpret arts and culture in our work. © 2009 by Temple University Press. All rights reserved.",,Book Chapter,"Final","",Scopus,2-s2.0-84900975795
"Chang S.","57208455378;","A high-rise vernacular in Singapore's housing development board housing",2000,"Berkeley Planning Journal","14",,,"97","116",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034021314&partnerID=40&md5=bb7b780b660f5d37b1c0572481da6d79","Vernacular architecture is commonly believed to be a quaint representation of the history and traditions of a culture, built by average people using traditional technologies over a long period of time but in Singapore there are several indications that the Modernist high rise housing and new towns have become a new vernacular. The factors that support this point of view are: 1) the ubiquity of the high rise and new town way of life; 2) a shared value system and culture within the new towns that is shaped by and reflected in the architecture and planning of the new towns; 3) the importance of relationships between spaces in the new towns; 4) the ability of the architecture and planning of new towns to adapt to changes within Singaporean society; 5) the acceptance, legitimacy, and identification of the high-rise way of life by Singaporeans. A vernacular in Singapore based upon high-rise housing and new towns profoundly impacts the understanding of vernacular architecture, Modernist planning, and the industrialization of former Third World countries in response to the globalism.",,Article,"Final","",Scopus,2-s2.0-0034021314
"Buck D.D.","56958940000;","The study of urban history in the People’s Republic of China",1987,"Urban History","14","NA",,"61","75",,3,"10.1017/S0963926800008579","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84972298256&doi=10.1017%2fS0963926800008579&partnerID=40&md5=0ea023278b55d7800e412c8bf95fdfd4","Since the establishment of the People’s Republic of China in 1949, most of the topics associated with the study of urban history have languished largely unstudied beneath a pall of ideologically based neglect. The list of understudied subjects includes urban population, physical structure, social structure, economic activity, urban politics, urban planning and the environment, and urban culture. This lack of interest in urban history directly reflects the emphasis on the role of the peasantry as a creative force in Chinese history. The history of Chinese peasant uprisings and wars became the focus of attention and left little interest for what changes might have taken place in urban settings. Today, a combination of forces has generated considerable changes in the institutional structure of historical studies in China, as well as compelling historians to reconsider established research preferences. In this atmosphere it appears that for the first time since 1949 topics that concern urban historians in the West and Japan are receiving serious attention in the People’s Republic of China. While it is still too early to speak of urban history in China, continuation of current trends in historical research over the next five to ten years will almost certainly bring this specialization into existence. © 1987, Cambridge University Press. All rights reserved.",,Article,"Final","",Scopus,2-s2.0-84972298256
"Plane D.A., Mu W.","7006755026;57207992510;","A people-based density perspective on physical/virtual world spaces in the microcosmic city",2021,"Land Use Policy","111",,"104462","","",,2,"10.1016/j.landusepol.2020.104462","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077748984&doi=10.1016%2fj.landusepol.2020.104462&partnerID=40&md5=539e57c1f4d4c383affcfff5628e9e12","Electronic and cyber-based methods of conducting transactions have reduced the role of propinquity across a large spectrum of civic activities. Simultaneously, however, technological advances affecting many realms of commerce and culture have increased the necessity and desire for face-to-face contact. Ceding substantial portions of our time to the virtual realm has, curiously, enhanced the importance of local-scale, physical world interactions. In this paper we focus on an elemental concept in urban development and planning: population density. Given that individual lives are now carried out within both physical and virtual spaces, we detail the advantages for land use policy of deploying density measures that are “people-based” rather than areal based. Such metrics provide a rich perspective reflecting planning-relevant geographies of spatial interaction. Rather than restricting density calculation to pre-specified areal units, such as municipalities, neighborhoods, census tracts, city blocks, or land parcels, we propose the deployment of “perceived” density surfaces that yield point-specific values for a set of bespoke values operationalizing critically relevant time-distance thresholds. We suggest embedding walking density, cycling density, and auto-travel density into the formulation and evaluation of land use decisions. In addition to being useful for many practical purposes, threshold-based perceived density provides an interesting conceptual framework for examining how individuals experience and interact within a spectrum of surrounding, microcosmic world spaces. © 2020 Elsevier Ltd","Activity patterns; Land use policy; Physical versus virtual spaces; Population density; Time geography",Article,"Final","",Scopus,2-s2.0-85077748984
