ArticleCluster,Article_num,ArticleCluster_Score,KeywordGroups,score,num_keywords,Keywords,NumDocs,DocIds
12,18,0.3696657951,1,0.7586908527,34,"['urban planning and disaster management', 'accurate and timely population count', 'city scale', 'urban land use classification', 'land cover', 'urban growth simulation model', 'ecological security', 'smart city', 'urban build up area', 'distribution map', 'land use classification', 'location semantics', 'land use scene image', 'population distribution mapping research', 'urban planning and management', 'land use data', 'Urbanization process', 'population spatialization', 'Beijing City', 'urban planning', 'essential urban land use category', 'accurate and refined map', 'Land cover classification', 'urban suitability index', 'urban expansion cell', 'slum area', 'monetary poverty', 'census data', 'effective urban policy', 'accurate land use', 'urban planning and precision agriculture', 'land cover type classification', 'effective contextual mapping feature', 'detailed urban mapping']",18,"[59, 78, 96, 130, 144, 186, 193, 212, 245, 251, 260, 282, 328, 368, 393, 427, 479, 559]"
12,18,0.3696657951,2,0.7339416357,16,"['high spatial resolution imagery', 'high resolution National Agriculture Imagery Program imagery', 'SPOT6 satellite data', 'image prepos', 'Resnet50V2 and VGG19', 'nighttime light', 'Street view image', 'Visible Infrared Imaging Radiometer Suite', 'UAV image', 'spectral curve', 'SAR image', 'Hyperspectral image', 'spectral spatial HSI classification framework', 'quad pol SAR image classification', 'advanced earth observation system', 'high resolution RADARSAT 2 PolSAR data']",12,"[59, 78, 96, 144, 186, 193, 251, 282, 393, 427, 479, 559]"
12,18,0.3696657951,3,0.6666639102,26,"['ensemble model', 'high dimensional feature', 'deep learning LU classification task', 'artificial fish swarm algorithm', 'cellular automaton', 'transfer learning', 'LCLU classification', 'weighted regression', 'deep learning network', 'random forest model', 'zonal modeling strategy', 'hybrid cellular automaton model coupling area partitioning', 'spatiotemporal neighborhood feature learning', 'artificial neural network', 'Random forest', 'EULUC seg', 'segmentation approach', 'image classification method', 'Cellular Automata', 'Accurate simulation and prediction', 'machine learning', 'LULC extraction', 'scale image segmentation optimization', 'PEN Net classifier', 'deep highway unit network', 'Deep Belief Networks']",17,"[78, 96, 130, 144, 186, 193, 212, 245, 251, 260, 282, 328, 368, 393, 427, 479, 559]"
12,18,0.3696657951,4,-0.3436807496,9,"['contextual feature', 'other open big data', 'scientific community', 'large datasets', 'NTL dataset', 'precision agriculture', 'Analytical Hierarchy Process', 'nonlinear feature space', 'big data']",9,"[59, 78, 96, 144, 186, 282, 328, 427, 479]"
13,18,0.3659226226,1,0.9344901739,17,"['roof superstructure classification', 'urban planning', 'building extraction', 'Al Hudaybiyah region', 'residential urban area', 'touristic development', 'Urban tree specie classification', 'proper urban planning', 'urban planning and management', 'urban development', 'water body', 'green urban area extraction', 'different town', 'urban area extraction', 'complex urban area', 'urban water type', 'vegetation and building']",14,"[89, 106, 129, 153, 162, 236, 301, 327, 333, 405, 496, 552, 557, 563]"
13,18,0.3659226226,2,0.7624232664,28,"['imbalanced data problem', 'Support Vector Machine', 'Support Vector Machines', 'random forest', 'clustering technique', 'Random Forest classifier', 'overall segmentation accuracy', 'machine learning algorithm', 'convolution', 'deep learning algorithms', 'machine learning classification method', 'pixel and feature', 'robust feature extraction technique', 'object recognition', 'KNN and Support Vector Machine', 'Road detection', 'imagery feature space', 'final object classification result', 'mobile phone and tablet', 'semantic labelling', 'spectral and geometric feature', 'machine learning', 'image interpretation', 'Image Analysis', 'AdaBoost and Bagging', 'binary class', 'discriminative Conditional Random Fields', 'adaptive support region']",18,"[89, 106, 129, 153, 162, 236, 301, 327, 333, 405, 478, 496, 507, 528, 552, 557, 563, 592]"
13,18,0.3659226226,3,0.49492916900000006,26,"['airborne LiDAR point cloud', 'high resolution satellite image', 'aerial and LiDAR data', 'conventional spectral signature', 'Pléiades satellite image', 'Unmanned aerial vehicle', 'sensor data fusion approach', 'hyperspectral reflectance band', 'large airborne LiDAR datasets', 'satellite image', 'aerial point cloud', 'ground level object', 'earth observatory image', 'Copernicus mission satellite image', '3D point cloud classification', 'novel 3D shape descriptor', '3D scene object', 'middle and high resolution satellite image', 'urban lidar point cloud', '3D segmentation', 'supervoxel approach', 'LiDAR imagery', 'LIDAR', 'urban point cloud data', '3D scale theory', 'laser scanner']",16,"[89, 106, 129, 153, 162, 236, 301, 327, 333, 405, 478, 496, 528, 557, 563, 592]"
13,18,0.3659226226,4,-0.3775514271,12,"['new automatic morphology', 'multiple feature space', 'basic morphological operation', 'smoothness and connectedness', 'Jaccard index', 'meaningful semantic class', 'overall kappa index', 'natural disaster prediction', 'Soil Adjustment Vegetation Index', 'water area extraction', 'positive surface openness', 'city 3D reconstruction']",10,"[106, 129, 153, 301, 327, 405, 496, 552, 557, 563]"
14,17,-0.1741013421,1,0.7442499632,23,"['urban planning and defense application', 'urban planning', 'Land cover map', 'building area', 'unreinforced masonry building', 'disaster risk assessment', 'digital map', 'green area and pollution percentage', 'Geographic Information system', 'Dubai Environmental', 'climate analysis', 'complex urban area', 'urban land cover', 'cadastral parcel', 'Urban tree', 'vegetation specie mapping', 'Kaunas City', 'outdated spatial data', 'greenery auto extraction', 'tree and grassland', 'urban greenery information', 'land cover classification', 'urban land cover estimation']",15,"[8, 74, 92, 113, 137, 158, 283, 285, 289, 312, 437, 444, 452, 476, 531]"
14,17,-0.1741013421,2,0.7318073001000001,22,"['convolutional neural network', 'cloud classification model', 'deep learning model', 'Random Forest', 'spectral index combination', 'deep learning', 'machine learning algorithms', 'definition and segmentation', 'big data processing challenge', 'deep learning method', 'positive unlabeled learning classifier', 'refined CNN classification', 'tree specie classification ability', 'fractal net evolution approach', 'training label', 'same accuracy', 'neural network', 'support vector machine', 'appropriate fusion level', 'multilabel classification', 'unsupervised spectral unmixing', 'powerful framework']",16,"[8, 74, 92, 113, 137, 158, 285, 289, 312, 378, 437, 443, 444, 452, 476, 531]"
14,17,-0.1741013421,3,0.5011003616,27,"['single satellite image', 'multiscale rapid detection', 'independent validation image', 'Landsat satellites', 'high revolution', 'change detection', 'group GF1 image', 'low and middle resolution', 'street level imagery', 'satellite image', 'Landsat Satellite medium', 'Google Earth Engine', 'Landsat and Sentinel datasets', 'image and benchmark datasets', 'aerial orthophoto and LiDAR data', 'multiscale Gabor filter', 'robust handcrafted feature', 'original imagery', 'hyperspectral images', 'unmanned aerial vehicle', 'aerial image and light detection', 'Guangzhou dataset', 'aerial imagery', 'UAV datasets', 'synthetic aperture radar', 'texture feature', 'hyperspectral data']",16,"[8, 74, 92, 113, 137, 158, 283, 285, 289, 312, 378, 437, 443, 444, 476, 531]"
14,17,-0.1741013421,4,-0.08069098620000001,7,"['obvious leader', 'scene Biome dataset', 'roof diaphragm', 'segmentation and object', 'class classification road extraction algorithms', 'Accurate road extraction', 'complex road network']",7,"[8, 74, 137, 283, 289, 378, 443]"
15,10,0.7055477074000001,1,0.8464569791000001,17,"['large street imagery data', 'landscape attribute', 'city planning', 'occupancy evaluation and guide redevelopment effort', 'Las Vegas Strip', 'urban public life', 'public space', 'city census information', 'architectural beauty', 'urban public space', 'urban and environmental variable', 'urban and social analysis', 'Urbanism and Architecture course', 'urban design', 'sized Brazilian city', 'urban space', 'urban design problem']",10,"[116, 177, 196, 341, 404, 416, 488, 492, 505, 533]"
15,10,0.7055477074000001,2,0.7361853784,12,"['sociodemographic information', 'mobile technology and machine learning', 'accurate and useful data', 'popularity and sentiment', 'Machine learning model', 'recent machine learning', 'machine learning algorithms', 'personalized recommendation', 'PCA and K means clustering approach', 'interactive machine learning', 'multiple criteria optimization problem', 'randomized fitness measure']",9,"[116, 177, 196, 341, 404, 416, 492, 505, 533]"
15,10,0.7055477074000001,3,0.0702141126,19,"['public space and decision', 'heterogeneous perception', 'Sonic environment', 'participatory method', 'Tripadvisor user', 'human perception', 'research and policy', 'discrete choice model', 'environment influence', 'Place Pulse dataset', 'urban sensory lab', 'qualitative and quantitative data', 'design thinking', 'emotional response', 'safety and pleasantness', 'redefinition and feature', 'planning and design process', 'Space Syntax theory', 'human design process']",10,"[116, 177, 196, 341, 404, 416, 488, 492, 505, 533]"
16,11,0.6180727494,1,0.8131154821000001,19,"['urban landscape', 'urban scene quality', 'streetscape view index', 'urban landscape perception', 'berlin', 'urban design', 'street level imagery', 'new city image', 'urban analysis', 'urban space quality', 'urban perception datasets', 'Chinese city', 'urban planner and researcher', 'efficient street renewal', 'street view image', 'new urban region', 'complex urban feature', 'urban visual experience', 'street wall']",11,"[31, 77, 170, 269, 271, 280, 313, 340, 429, 472, 489]"
16,11,0.6180727494,2,0.6544645364,26,"['novel transfer learning approach', 'physical perception measure', 'panoptic segmentation', 'CV and machine learning', 'subjective measure', 'computer vision', 'machine learning technology', 'subjective quality', 'image classification model', 'anxiety prevalence', 'deep learning', 'human health', 'deep neural network model', 'vitality level', 'Heat map', 'visual feature', 'adversarial scoring framework', 'visual quality', 'machine learning algorithms', 'deep learning model', 'human perceptual indicator', 'Random Forest model', 'Holistic visual data', 'machine learning model', 'construction and maintenance quality', 'public rating score']",11,"[31, 77, 170, 269, 271, 280, 313, 340, 429, 472, 489]"
16,11,0.6180727494,3,0.15606688430000001,8,"['landsense index', 'housing policy', ""Kevin Lynch's Image"", 'design workflow', 'human centred planning and design', 'place sentiment', 'housing price', 'environment value']",7,"[31, 170, 269, 271, 340, 429, 472]"
17,23,-0.2297408058,1,0.7948748052,30,"['generic image feature', 'random forest model', 'SVI and CV', 'random forest', 'machine learning', 'deep learning model', 'machine learning data extraction technique', 'image data gatekeeper', 'discriminant characteristic', 'deep learning', 'predictive acoustic model', 'High and Low level feature', 'behavioral heat distribution', 'machine learning model', 'output image', 'machine learning method', 'Generative Adversarial Network', 'different machine learning model', 'feature cluster', 'machine learning technique', 'hedonic pricing model', 'big data', 'Support Vector Regression', 'Frequency Cepstral Coefficients', 'computer lack life experience', 'First Person Shooter', 'agent evolutionary system', 'Unity3D game engine', 'decision tree machine learning algorithm rule', 'artificial intelligence']",22,"[2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 477, 523, 529, 534, 595]"
17,23,-0.2297408058,2,0.6563805101,51,"['urban design quality', 'housing price', 'spatial regression', 'street view image', 'mobile LiDAR point cloud', 'green space factor', 'street view imagery', 'spatial indicator', 'urban analytics', 'urban planning research', 'spatial variance', 'urban analytics and GIScience', 'Mapillary and KartaView', 'neighborhood playability', 'sustainable city design', 'crime rate', 'Panoramic street level imagery', 'urban analysis', 'Baidu Total View', 'urban perception computing', 'citizen and planning process', 'urban environment', 'urban design', 'urban environment and evaluation method', 'geophisical and social feature', 'urban context', 'urban design plan', 'automatic design tool', 'site condition', 'urban greenery and planning practice', 'Google Street View', 'spatial design network analysis', 'new urban data and research technique', 'street quality', 'city image', 'particular urban environment', 'visible street greenery', 'housing and neighborhood feature', 'urban greening policy', 'urban planning', 'layout and plot configuration', 'spatial autocorrelation tool', 'design proposal', 'area size', 'urban space', 'interactive visual analytics system', 'street view pattern', 'urban planning and environment auditing', 'Google Street View imagery', 'urban map', 'residential land use']",22,"[2, 35, 48, 49, 51, 52, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 411, 474, 477, 523, 534, 595]"
17,23,-0.2297408058,3,0.2884045565,17,"['subjective measure', 'visual quality difference', 'pedestrian emotion', 'environmental visual exposure', ""people's perception"", 'safety criterion', 'perceptional score', 'subject activity', 'accessibility metric', 'physical activity', ""model citizen's safety perception"", 'social relevance', 'human scale indicator', 'pedestrian volume', 'affective quality', 'pedestrian environment', 'health motivation']",12,"[2, 35, 49, 52, 154, 268, 367, 376, 411, 523, 529, 595]"
17,23,-0.2297408058,4,-0.3483754652,11,"['new bikeability index', 'comprehensive systematic review', 'city soundscapes', 'comparable experiential data', 'visual and auditory perception map', 'specific audio', 'citizen', 'accessibility value', 'visual enclosure', 'soundscape assessment', 'procedural generation']",9,"[48, 51, 157, 206, 277, 325, 523, 529, 534]"
18,17,0.8743251776000001,1,0.9722766928000001,21,"['complex system and data science', 'UHI concept', 'machine learning model', 'machine learning method', 'mean absolute percentage error', 'metamodels', 'regression tree', 'decision tree', 'random forest regression', 'hierarchical clustering algorithm', 'regression analysis', 'particle swarm optimization', 'random forest method', 'Unified Model Local Data Assimilation', 'machine learning', 'UHI definition', 'analytical hierarchical process', 'neural network', 'CIOI prediction model', 'soft computing methodology', 'result ELM']",17,"[10, 62, 102, 178, 201, 228, 338, 371, 379, 421, 431, 453, 454, 495, 500, 512, 520]"
18,17,0.8743251776000001,2,0.592149107,58,"['urban heat island', 'conventional urban environmental study', 'urban rural dichotomy', 'new Dynamic urban Thermal Exposure index', 'smartphone location data', 'foot traffic', 'heat', 'urban block carbon emission', 'BEF', 'urban configuration', 'heating', 'Mediterranean climate', 'EnergyPlus and Scikit', 'outdoor thermal comfort', 'energy engineering modeling', 'city design strategy', 'green sidewalk', 'Cold air path identification', 'urban planning', 'BRT modelling', 'important mitigation aspect', 'sustainable travel', 'environment determinant', 'metropolitan area', 'CO2 emission', 'urban thermal environment mitigation planning', 'floor area ratio', 'land surface temperature', 'physical urban form feature', 'urban geometric type and energy pattern', 'energy efficiency', 'block planning', 'agricultural afforestation area', 'smart city management', 'carbon sequestration potential', 'optimal zoning', 'urban heat island study', 'land parcel', 'physical and socioeconomic characteristic', 'city temperature prediction model', 'spatial decomposition capability', 'Korean peninsula', 'multispectral and spatial vector data', 'wide geospatial energy consumption', 'sustainable urban planning', 'geographic information system', 'power market design', 'wind direction', 'urban area', 'CFD simulation', 'microclimate', 'improved urban natural ventilation', 'CFD simulation result', 'indoor and outdoor wind environment', 'current building standard', 'thermal comfort prediction', 'open urban area', 'wind speed']",17,"[10, 62, 102, 178, 201, 228, 338, 371, 379, 421, 431, 453, 454, 495, 500, 512, 520]"
19,10,0.9650078855,1,0.9681000948,14,"['machine learning technique', 'critical limit', 'advanced sequential cluster', 'quantitative characteristic feature', 'logistic regression and machine learning technique', 'machine learning', 'open data and machine learning technique', 'machine learning algorithm', 'survey domain knowledge', 'machine learning classifier', 'decision tree method', 'same knowledge pool', 'profile curve', 'information theory']",10,"[65, 91, 122, 136, 140, 323, 339, 470, 480, 484]"
19,10,0.9650078855,2,0.844417602,36,"['spatial justice', 'economic mobility', 'census tract', 'local geography', 'urban planning', 'Housing value', 'Economic sustainability', 'household concentration', 'city safety', 'economic magnetism achievement', 'comprehensive relevant global urban data base', 'urban planning and activity space estimation', 'life circle', 'environmental data', 'global positioning system', 'residential choice modelling', 'pattern and disaster risk', 'hot spot', 'urban environment', 'urban policy', 'inclusivity and equity', 'hospital and clinic access', 'senior population', 'geographical accessibility model', 'park increase', 'sustainable city', 'community deprivation', 'urban computing methodology', 'multidimensional livability index', 'public preference', 'dependent industry', 'localization decision', 'new company creation', 'urban segregation', 'nonconstant spatial scale and decomposition analysis', 'city analysis']",10,"[65, 91, 122, 136, 140, 323, 339, 470, 480, 484]"
20,16,0.3197707798,1,0.8044490703,23,"['supervised Feature Selection method', 'classification accuracy', 'modality complement', 'machine learning', 'data and classifier', 'Random Forests', 'deep convolutional neural network', 'new classification scheme', 'XGBoost classification model', 'machine learning technology', 'parallel deep convolutional neural network', 'manual classification', 'machine learning classifier', 'SVM classifier', 'developed scene classification algorithms', 'Decision tree classification', 'generic image feature', 'random forest classifier', 'pixel color', 'computer vision', 'gaze analysis system', 'manifold alignment', 'autonomous humanoid robot']",15,"[107, 189, 267, 305, 315, 383, 396, 445, 449, 455, 482, 483, 538, 575, 579]"
20,16,0.3197707798,2,0.6326579302,37,"['public policy decision making', 'UK city', 'urban functional area', 'climate change', 'urban environment', 'world airport', 'yearly growth', 'urban planning', 'nighttime light', 'modern urban planning', 'street context', 'urban functional zone classification approach', 'Gaode and Baidu Heat Map', 'source geospatial datasets', 'land use analysis', 'smart city', 'open map', 'available data', 'urban valuation estimation', 'visual urban scene data', ""neighborhood's environment"", 'Google Cloud Vision', 'particular natural attraction and nature photographs', 'Rome and Paris', 'building block level land use mapping', 'Google Street View', 'urban form classification', 'urban land use map', 'street level imagery Google Street View image', 'LiDAR data', 'Environmental landscape attributes', 'urban planning and management practice', 'road and parking lot pixel', 'Mapping sidewalk', 'sustainable city', 'multidimensional trajectory data', 'model street scene']",16,"[107, 189, 267, 305, 315, 383, 396, 445, 449, 455, 482, 483, 538, 567, 575, 579]"
20,16,0.3197707798,3,-0.0854784717,17,"['geodemographic classification development', 'Library use', 'image and user behavior data', 'European Space Agency Sentinel2 API', 'low cost', 'vehicular transportational feature', 'Social data', 'cultural ecosystem service', 'social metadata', 'aesthetic rating', 'Flickr photo', 'different photo', 'landscape ecology', 'bootstrap aggregation', 'metric', 'building block level', 'Building type classification result']",12,"[107, 189, 267, 305, 315, 445, 449, 455, 482, 483, 538, 567]"
21,33,-0.4334374485,1,0.8746530459,54,"['residential infill development', 'rail transit accessibility', 'sustainable urban development', 'urban sprawl', 'urban planning', 'urban setting', 'Urban morphological feature extraction', 'urban design decision making', 'urban poverty', 'geographical cluster', 'urban place detection', 'Brooklyn neighborhood', 'urban space generation design method', 'traffic road network', 'intelligent urban planning decision making', ""urban form's modeling"", 'city feature extraction', 'urban hotel development scale', 'urban planning machine learning model', 'urban dweller', 'virtual urban planning model', 'urban job housing pattern', 'urban environment', 'usable floor area', 'residential status', 'residential segregation', 'barcelona', 'building level', 'open urban area', 'street functionality classification', 'urban planning and transportation management', 'urban planning and management', 'urban morphological research', 'university campus', 'landscape architecture system', 'urban ecosystem', 'French neighbourhood', 'local urban planning department', 'advertising construction', ""city's authority"", 'criteria spatial evaluation', 'walkability', 'Belo Horizonte', 'urban area', 'architectural color icon creation', 'landscape conservation', 'urban design', 'different urban structure type', 'current digital landscape model', 'location decision making', 'land use type', 'Beppu census ward', 'regional and urban planning', 'urban pattern and regularity']",30,"[7, 15, 34, 43, 95, 99, 126, 147, 160, 163, 164, 180, 185, 197, 204, 219, 241, 263, 270, 276, 286, 318, 397, 401, 402, 413, 513, 535, 577, 591]"
21,33,-0.4334374485,2,0.8242810808000001,62,"['random forest', 'deep learning method', 'Systematic Reviews and Meta Analyses', 'Structural equation modeling', 'marital status and income inequality', 'POI data source', 'schema standardisation', 'matching accuracy', 'deep learning approach', 'dimensional similarity analysis', 'machine learning approach', 'gray level cooccurrence matrix', 'racial data', 'outlier detection problem', 'deep learning algorithm', 'procedural logic', 'deep learning', 'transfer learning technique', 'machine learning algorithm', 'source city data', 'various trend view', 'Automation tool use machine learning classification model', 'SAR ground object classification', 'extreme learning machine classification algorithm', 'big data technology', 'socioeconomic data', 'automatic algorithm', 'BUFA estimation', 'ensemble machine learning building classification model', 'machine learning technique', 'Denoising Autoencoder', 'GDP contribution', 'traditional survey', 'word2vec model', 'literal similarity', 'convolutional autoencoder model', 'big data method', 'mobile edge streaming medium data processing', 'machine learning model', 'stram data', 'descriptive data', 'cognitive perception', 'uncertainty analysis', 'convolutional neural network', 'limited training data', 'random forests classifier', 'novel semantic model', 'Neighbor and Naïve Bayes', 'Neural Networks', 'machine learning', 'Tensorflow Segmentation', 'historical distribution', 'change detection', 'space syntax Theory', 'machine learning method Random Forests', 'unsupervised artificial neural network', 'appropriate attribute feature', 'scene classification', 'large dataset', 'scheme and kernel', 'methodological approach', 'knowledge conversion']",32,"[7, 15, 34, 43, 95, 99, 126, 147, 160, 163, 164, 180, 185, 197, 204, 219, 241, 262, 263, 270, 276, 286, 290, 318, 365, 397, 402, 413, 513, 535, 577, 591]"
21,33,-0.4334374485,3,0.4229381794,18,"['taxonomy mapping', 'plot shape', 'high resolution satellite imagery', 'central green axis', 'street view image', 'satellite image', 'historical site', 'Figure ground', 'image interpretation', 'geographic information system', 'deprivation mapping', 'high resolution satellite image', 'street view map', 'such sign', 'Google Map Platform', 'historical topographic map', 'GIS visualisation', 'BOSSA representation']",15,"[43, 95, 99, 147, 185, 204, 262, 270, 290, 318, 397, 402, 413, 535, 577]"
21,33,-0.4334374485,4,-0.4553400052,21,"['Address matching', 'Chinese author', 'prenatal care', 'air pollutant concentration', 'Jiangxia and Huangpi', 'urban data', 'several domain', 'colossal migration', 'multiple feature', 'sufficient neighborhood information', 'complete and detailed property information', 'footprint and label data', 'centrality measure', 'dense traffic network', 'protection and development', 'real estate search', 'spatial concept', 'mapping rooftop footprint', 'environmental evaluation', 'Natural Movement postulates', 'Urban Data Mining']",18,"[15, 34, 99, 160, 164, 180, 185, 197, 204, 241, 262, 263, 286, 290, 365, 401, 513, 591]"
22,21,0.8341693870000001,1,0.8381267529,21,"['urban forestry', 'Smart Cities', 'urban canyon surface', 'Paris and Helsinki', 'urban planning', 'urban planning and design discipline', 'urban development and UHI', 'istanbul', 'urban ecological infrastructure', 'urbanization process monitoring', 'urban area', 'Urban land use information', 'urban morphology feature', 'different urban tree specie', 'architecture height', '3D urban architecture', 'architectural pattern influence', 'urban environmental planning', 'urban vegetation configuration influence', 'urban planning and management', 'urban environment']",16,"[28, 29, 57, 60, 71, 79, 115, 168, 172, 215, 222, 247, 274, 372, 456, 585]"
22,21,0.8341693870000001,2,0.8350949044,22,"['seasonal solar exposure and irradiation uniformity', 'air temperature data', 'arid city', 'urban land surface temperature', 'land surface temperature', 'radiative transfer equation', 'Urban heat island', 'urban heat island effect', 'urbanization and temperature increase', 'surface climate information', 'humidity and wind speed', 'microclimate simulation program', 'tropical climate', 'urban heat hazard mapping', 'climatic thermal benefit', 'hot city', 'urban thermal condition', 'nighttime land surface temperature', 'thermal infrared image', 'optimise cooling', 'urban temperature', 'daily urban air temperature']",16,"[29, 39, 44, 57, 60, 71, 79, 115, 198, 215, 216, 222, 247, 274, 372, 456]"
22,21,0.8341693870000001,3,0.2696437419,57,"['AI method', 'ecosystem service assessment', 'discrete and continuous variable', 'test Random Forest classifier', 'qualitative classification scheme', 'random forest regression modelling', 'multiple spectral index', 'spatial analysis technique', 'machine learning algorithms', 'park place ment planning', 'Additive exPlanation', 'land cover', 'random forest', 'spatiotemporal dynamic characteristic', 'supervised machine learning approach', 'vegetation index', 'SUHI mitigation strategy', 'ecological impact', 'vegetation greenness', 'Park size', 'data envelopment analysis', 'difference vegetation index', 'means clustering tool', 'spatial analysis', 'tree planting policy', 'mobility data', 'tree location data', 'Social Network', 'scale fine resolution EULUC mapping research', 'Digital Earth', 'auxiliary crowdsourcing datasets', 'biodiversity conservation', 'Principal Component Analysis', 'complex terrain basin', 'temporal variability', 'square and random forest', 'greenery increase', 'Random Forest regression modeling', 'key biophysical parameter and Landsat', 'hyperlocal variability', 'machine learning analysis', 'leaf area index', 'regression tree', 'land use change', 'artificial neural network', ""Nepal's Tarai region"", 'Landsat satellite imagery', 'spatial model', 'coarse resolution LST images', 'Machine learning model', 'moderate temperature vegetation relationship', 'random forest machine learning approach', 'accurate spatial representation', 'common wild bee', 'nearby floral resource', 'digital GIS biotope data map', 'suitable nesting opportunity']",21,"[28, 29, 39, 44, 57, 60, 71, 79, 115, 168, 172, 198, 215, 216, 222, 247, 265, 274, 372, 456, 585]"
23,18,0.8018109242,1,0.6728657568,32,"['vehicular PM2', 'meteorological factor', 'novel and effective PM2', 'Accurate air quality prediction', 'air pollutant concentration', 'criterion pollutant', 'urban form and street level pollutant', '5 and CO concentration data', 'pollution prediction', 'airborne particulate matter', 'vegetation barrier design', 'air pollution', 'fecal sludge', 'characterization and monitoring', 'many treatment plant', 'Hangzhou PM2', 'different season forecast', 'pollutant data', 'novel air pollutant prediction model', 'air and noise pollution', 'land use magnitude impact PM2', 'seasonal variability', 'air quality', 'air quality prediction', 'interactive and visual dashboard', 'emission and pollutant concentration data', 'climate change problem', 'low cost air quality monitoring platform', 'Shinyei PPD42 aerosol monitor', 'health hazard forecasting', 'smog', 'environmental signal processing']",18,"[5, 14, 17, 26, 41, 50, 82, 94, 105, 142, 218, 229, 238, 292, 294, 447, 498, 501]"
23,18,0.8018109242,2,0.6169007248,35,"['deep convolutional neural network', '5 concentration prediction model', 'adaptive variational mode decomposition', 'long and short term memory network', 'support vector machine', 'spatio temporal prediction', 'time series', 'large eddy simulation', 'regression model', 'concept drift', 'Land Use Regression', 'microscale variable', 'ML K model', 'decision tree', 'random forest', 'prediction importance level', 'spectral band and index', 'computational fluid dynamic', 'particle size', 'Simple decision tree model', 'solid liquid separation performance', 'Particle Swarm Optimization Random Forest', 'error value', 'empirical mode decomposition', 'extreme learning machine', 'R2 and RMSE', 'sample entropy', 'spatial statistic', 'regression tree', 'squares and Ridge Regression', 'regression tree model', 'device calibration', 'artificial neural network', 'metric learning', 'causal inference']",17,"[5, 14, 17, 26, 41, 50, 82, 94, 105, 142, 218, 229, 238, 292, 447, 498, 501]"
23,18,0.8018109242,3,0.3626170456,18,"['urban environment Washington DC', 'Google Community Mobility Reports', 'Tianjin and Baoding', 'urbanization and city type', 'urban planning', 'urban environment', 'wuhan', 'imagery and Open Street Maps', 'African city', 'street level time lapse image', 'local stakeholder engagement', 'big data', 'different domain', 'dense heterogeneous urban environment', 'raw microblogging text', 'network information diffusion data', 'biomedical data analysis', 'massive urban data']",14,"[5, 14, 17, 26, 41, 50, 82, 229, 238, 292, 294, 447, 498, 501]"
24,12,0.6515042403,1,0.9503092385,23,"['urban planning', 'urban planning conflict', 'North Eastern Chord', 'sustainable urban planning', 'relevant building stock', 'new open source transportation planning decision support system', 'urbanization and adoption', 'urban mobility landscape', 'smart city', 'urban design teaching application', 'Cambridge and innovation', 'thin globalization', 'Israel and Silicon Valley', 'urban and regional development process', 'map service', 'urban decision making', 'solar performance', 'smart city initiative', 'urban design problem', ""Artur Lugmayr's"", 'Integrated Tourism planning', 'urban area', 'urban design']",12,"[18, 85, 203, 242, 360, 419, 440, 457, 465, 540, 556, 586]"
24,12,0.6515042403,2,0.7651886405,27,"['agents model', 'supervised learning method', 'Smart data', 'mathematical and neural network model', 'machine learning', 'machine learning competition', 'complex and intricate ANN model', 'complexity theory', 'brain', 'multidimensional interactivity', 'machine learning hyperparameter', 'statistical contourlet coefficient', 'enterprise agent intelligence design', 'word embedding', 'query engine', 'natural language', 'convolutional neural network', 'real time prediction', 'complex simulation', 'interactive machine learning', 'domain ontology', 'Information Extraction tool', 'Artificial Intelligence technique', 'CoMModO complex material modeling operation', 'genetic algorithm approach', 'dynamic phenomenon and quality defect', 'computer simulation']",11,"[18, 85, 203, 242, 360, 419, 457, 465, 540, 556, 586]"
24,12,0.6515042403,3,0.0715025277,9,"['big data processing', 'social medium user', 'Research data', 'local height data', 'open government data', 'adaptive plan', 'big data', 'platform evolution', 'smart human food interaction']",7,"[18, 85, 203, 242, 419, 440, 540]"
25,15,0.9688758878,1,0.8545466770000001,27,"['machine learning algorithm', 'artificial neural network', 'satin bowerbird optimization', 'metaheuristic technique', 'data stream mining algorithm', 'Hoeffding Tree', 'similar AUC value', 'Ensemble approach', 'different ML algorithms', 'boosting technique and MLPNN', 'random forest', 'sensitivity and specificity', 'discriminant analysis', 'early warning system', 'ML model', 'machine learning technique', 'RF model', 'machine learning model', 'certainty factor', 'multiple layer perceptron', 'Fuzzy Analytical Network Process', 'Quick Unbiased Efficient Statistical Tree', 'GARP model', 'biometric attendance system', 'Utility Computing System', 'support vector machine model', 'ROC curve']",15,"[25, 27, 81, 131, 159, 176, 217, 232, 248, 253, 329, 351, 380, 424, 514]"
