Collocation By PMI,Score By PMI,Document By PMI,Collocation By Chi_square,Score By Chi_square,Document By Chi_square,Collocation By Likelihood_ratio,Score By Likelihood_ratio,Document By Likelihood_ratio
related marginal,8.969032238510396,1,help bridge,610.0523321212979,1,heritage automated,12.488502870776456,1
sludge collected,8.969032238510396,1,simulation les,610.0523321212979,1,mainly embodied,12.488502870776456,1
subsequently assessed,8.969032238510396,1,simulation packages,610.0523321212979,1,minimizing type,12.488502870776456,1
tremendous increase,8.969032238510396,1,spatiotemporal uncertainty,609.4634243672936,1,second resampling,12.488502870776456,1
usability collected,8.969032238510396,1,three steps,609.1839591760732,3,rich information,12.483653708681675,2
uses ontology,8.969032238510396,1,human perceptions,607.9191002804196,4,demography recent,12.481393833212227,1
values accelerated,8.969032238510396,1,many floral,607.355528261789,1,humanities finally,12.481393833212227,1
values initially,8.969032238510396,1,many nations,607.355528261789,1,tweet finally,12.481393833212227,1
weather hazards,8.969032238510396,1,many scholars,607.355528261789,1,brought together,12.477117630247129,1
community deprivation,8.965337754952651,1,utilize natural,606.6273770164386,2,demographic surveillance,12.477117630247129,1
difficulties still,8.963494054968965,1,application scenarios,606.2786565951011,4,destination predictor,12.477117630247129,1
effectively distinguish,8.963494054968965,1,cover classifications,606.1023774326269,2,disasters spread,12.477117630247129,1
interactive games,8.963494054968965,1,growth rate,604.886239156982,4,frequency dependency,12.477117630247129,1
metrics describing,8.963494054968965,1,abundance via,604.2381975875518,1,gain insight,12.477117630247129,1
rapidly transforming,8.963494054968965,1,concrete scenarios,604.2381975875518,1,inputs external,12.477117630247129,1
suitable numerical,8.963494054968965,1,ethics review,604.2381975875518,1,matching tests,12.477117630247129,1
unplanned loss,8.963494054968965,1,findings deliver,604.2381975875518,1,parameter recommendation,12.477117630247129,1
cooling efficiency,8.961652708144797,1,findings hold,604.2381975875518,1,propagation condition,12.477117630247129,1
edge computing,8.961652708144797,2,five mlas,604.2381975875518,1,relevance accordingly,12.477117630247129,1
parsing road,8.9579770500014,1,participation via,604.2381975875518,1,slightly lower,12.477117630247129,1
toll road,8.9579770500014,1,physical businesses,604.2381975875518,1,terrain basin,12.477117630247129,1
becoming much,8.955226438985365,2,scenarios initially,604.2381975875518,1,valid potentially,12.477117630247129,1
firstly landsat,8.955226438985365,2,via rational,604.2381975875518,1,vitality score,12.477117630247129,1
investigation sites,8.955226438985365,1,covers several,602.4644198045207,2,discerning features,12.476474018545412,1
transformation rules,8.955226438985365,1,building energy,602.0881941466968,5,features homogeneity,12.476474018545412,1
tree brt,8.950653709195539,3,forest japanese,601.7179845100413,1,predominant features,12.476474018545412,1
cellular automation,8.949740899901636,2,structural attributes,601.6029553176654,2,restore features,12.476474018545412,1
building heights,8.948828667787213,2,berkeley planners,601.5562547246834,1,wsud features,12.476474018545412,1
airborne synthetic,8.947005932180396,1,integral role,601.5562547246834,1,various machine,12.471192687445441,5
alleviate future,8.947005932180396,1,threats due,601.5562547246834,1,spatiotemporal dynamics,12.470593410477006,2
analyzed systematically,8.947005932180396,1,main avenues,601.4777316225976,1,identify small,12.470567885055376,2
appropriate autonomous,8.947005932180396,1,optimizing parameters,601.4777316225976,1,almost always,12.466834654515512,1
approximately times,8.947005932180396,1,pervasive mobile,601.4777316225976,1,always evolving,12.466834654515512,1
aspect ratio,8.947005932180396,1,uncertain geographic,601.4777316225976,1,computationally optimized,12.466834654515512,1
ensemble stock,8.947005932180396,1,monitoring devices,601.4636662164843,3,generalization capabilities,12.466834654515512,1
ensure appropriate,8.947005932180396,1,growing body,601.4038462506352,1,grid representing,12.466834654515512,1
fast reliable,8.947005932180396,1,incorporated individual,601.4038462506352,1,hydraulic constraints,12.466834654515512,1
industrial districts,8.947005932180396,1,individual crown,601.4038462506352,1,managing infrastructures,12.466834654515512,1
influencing decisions,8.947005932180396,1,individual logistics,601.4038462506352,1,passenger driver,12.466834654515512,1
interaction toward,8.947005932180396,1,attribute selection,601.371527108086,1,rescue operations,12.466834654515512,1
investigating sense,8.947005932180396,1,bare ground,601.371527108086,1,collected data,12.455291825810033,5
joint conference,8.947005932180396,1,detect intrusion,601.371527108086,1,biclustering mining,12.450157919198457,1
kernels decision,8.947005932180396,1,factor influencing,601.371527108086,1,mining edm,12.450157919198457,1
memory made,8.947005932180396,1,quickly detect,601.371527108086,1,related regionalization,12.450157919198457,1
multicriteria decision,8.947005932180396,1,ridership factor,601.371527108086,1,types may,12.449667482320116,2
optimal count,8.947005932180396,1,systematically investigate,601.371527108086,1,patterns within,12.446096343192721,3
phone usage,8.947005932180396,1,utilizes trajectories,601.371527108086,1,original images,12.444940070367158,2
plan toward,8.947005932180396,1,without costly,601.371527108086,1,online social,12.43590510196056,2
poverty rates,8.947005932180396,1,computed plan,601.3622937053614,1,countries seeking,12.4358959247451,1
problems normally,8.947005932180396,1,determining appropriate,601.3622937053614,1,figures indicate,12.4358959247451,1
process ahp,8.947005932180396,1,experiences needs,601.3622937053614,1,geological processes,12.4358959247451,1
process exhibiting,8.947005932180396,1,interaction protocol,601.3622937053614,1,literature spans,12.4358959247451,1
production living,8.947005932180396,1,ratio floor,601.3622937053614,1,separate processes,12.4358959247451,1
respective optimal,8.947005932180396,1,simple baseline,601.3622937053614,1,spectral discrimination,12.4358959247451,1
safe reinforcement,8.947005932180396,1,accessible alternatives,601.3484441328952,1,user adaptable,12.4358959247451,1
simple counting,8.947005932180396,1,analog workflow,601.3484441328952,1,aat differences,12.429374945611986,1
starbucks locations,8.947005932180396,1,collaborative efforts,601.3484441328952,1,bayesian expert,12.429374945611986,1
streetscape improvement,8.947005932180396,1,detecting personality,601.3484441328952,1,besides search,12.429374945611986,1
take action,8.947005932180396,1,detecting players,601.3484441328952,1,biggest challenge,12.429374945611986,1
take full,8.947005932180396,1,driven efforts,601.3484441328952,1,graph autoencoders,12.429374945611986,1
top interaction,8.947005932180396,1,generally consistent,601.3484441328952,1,hazard determination,12.429374945611986,1
town since,8.947005932180396,1,industry investigating,601.3484441328952,1,practice besides,12.429374945611986,1
uav rural,8.947005932180396,1,intersection scenario,601.3484441328952,1,practice documents,12.429374945611986,1
phone users,8.947005932180394,2,largest sample,601.3484441328952,1,targeted hazard,12.429374945611986,1
air pollution,8.944276139424824,11,largest variations,601.3484441328952,1,topical expert,12.429374945611986,1
econometrics methods,8.941551502088288,1,namely precipitation,601.3484441328952,1,true positive,12.429374945611986,1
methods entomological,8.941551502088288,1,police authorities,601.3484441328952,1,logistics industry,12.425515182982561,1
methods geotagging,8.941551502088288,1,reveal fundamental,601.3484441328952,1,navigation employs,12.425515182982561,1
nmea level,8.941551502088288,1,term represents,601.3484441328952,1,parking spot,12.425515182982561,2
pixel level,8.941551502088288,3,using machine,599.8672715423141,40,parking spots,12.425515182982561,1
ptal methods,8.941551502088288,1,give visual,599.698216412237,1,pressure wind,12.425515182982561,1
addressing layout,8.936117616037661,1,role players,599.6014975840202,1,probe meaningful,12.425515182982561,1
average annual,8.936117616037661,2,construction industry,599.5186205584653,2,qualitative descriptions,12.425515182982561,1
binary classifications,8.936117616037661,1,alone even,598.6048125613626,1,regulation efforts,12.425515182982561,1
candidate identification,8.936117616037661,1,completeness errors,598.6048125613626,1,returns difference,12.425515182982561,1
candidate vehicles,8.936117616037661,1,frequently discussed,598.6048125613626,1,reveals qualitative,12.425515182982561,1
connectivity phenomena,8.936117616037661,1,generalization ability,598.6048125613626,1,safer parking,12.425515182982561,1
continuous embedding,8.936117616037661,1,good mape,598.6048125613626,1,standards coupled,12.425515182982561,1
domains entire,8.936117616037661,1,gps code,598.6048125613626,1,term nexus,12.425515182982561,1
energy intensive,8.936117616037661,1,ten architectural,598.6048125613626,1,noticeable problems,12.419402832336578,1
energy savings,8.936117616037661,1,weight derived,598.6048125613626,1,settle problems,12.419402832336578,1
energy transfers,8.936117616037661,1,residential units,596.7833069524507,1,user modeling,12.417946133631231,2
energy wastage,8.936117616037661,1,thousand images,596.6788914427073,1,business entities,12.416414140402473,1
irish energy,8.936117616037661,1,human activities,594.7643545563205,6,chicago regarding,12.416414140402473,1
likely affected,8.936117616037661,1,billion people,593.292946852649,1,experiment eri,12.416414140402473,1
operation procedure,8.936117616037661,1,conditions collectively,593.292946852649,1,explained fuzzy,12.416414140402473,1
operational operation,8.936117616037661,1,conditions galileo,593.292946852649,1,flight plans,12.416414140402473,1
portugal energy,8.936117616037661,1,conditions labor,593.292946852649,1,general conclusions,12.416414140402473,1
primary goals,8.936117616037661,1,people entered,593.292946852649,1,height width,12.416414140402473,1
renewable energy,8.936117616037661,1,people see,593.292946852649,1,observed rbfn,12.416414140402473,1
river contribute,8.936117616037661,1,people spend,593.292946852649,1,places rising,12.416414140402473,1
sets representing,8.936117616037661,1,planting policies,593.292946852649,1,require laboratory,12.416414140402473,1
spatially varying,8.936117616037661,1,services begins,593.292946852649,1,tod component,12.416414140402473,1
supporting food,8.936117616037661,1,services buffered,593.292946852649,1,width height,12.416414140402473,1
supporting timely,8.936117616037661,1,emerging interest,592.5907501193903,2,expansion natural,12.409057157303318,1
relatively low,8.93611761603766,3,data collection,592.3778750323204,13,solve traffic,12.408826633258101,2
benchmark datasets,8.93250636248528,3,crosstown traffic,591.2454469052728,1,entire cities,12.408525720679899,2
park cooling,8.93250636248528,1,jam traffic,591.2454469052728,1,econometrics methods,12.399393092483358,1
spatiotemporal variation,8.93250636248528,1,lighter traffic,591.2454469052728,1,methods entomological,12.399393092483358,1
beidou satellite,8.930704119851296,1,solves traffic,591.2454469052728,1,methods geotagging,12.399393092483358,1
galileo satellite,8.930704119851296,1,traffic clogging,591.2454469052728,1,ptal methods,12.399393092483358,1
gaze dynamics,8.930704119851296,1,traffic fatality,591.2454469052728,1,additional inhabitants,12.393383995950657,1
inexpensive satellite,8.930704119851296,1,traffic jam,591.2454469052728,2,already exist,12.393383995950657,1
utilising satellite,8.930704119851296,1,traffic jams,591.2454469052728,1,distinguish humans,12.393383995950657,1
density diversity,8.926657286788593,4,traffic simulator,591.2454469052728,1,estate price,12.393383995950657,2
aforementioned field,8.925310861081078,1,witness traffic,591.2454469052728,1,exploit principal,12.393383995950657,1
faster region,8.925310861081078,2,bangladesh random,590.7503996028495,1,fit svms,12.393383995950657,1
homogenous mapping,8.925310861081078,1,environments metroped,590.7503996028495,1,increases beyond,12.393383995950657,1
interpreters mapping,8.925310861081078,1,environments navigating,590.7503996028495,1,might drive,12.393383995950657,1
region india,8.925310861081078,1,environments reachability,590.7503996028495,1,precipitation slope,12.393383995950657,1
region partition,8.925310861081078,1,holding environments,590.7503996028495,1,satellites might,12.393383995950657,1
sydney region,8.925310861081078,1,random guess,590.7503996028495,1,satellites segment,12.393383995950657,1
act similar,8.914584454488018,1,random walks,590.7503996028495,1,seven kinds,12.393383995950657,1
aesthetic selection,8.914584454488018,1,sonic environments,590.7503996028495,1,singapore truck,12.393383995950657,1
boosting adaboost,8.914584454488018,1,demonstrate bistro,590.509987953257,1,stacking knn,12.393383995950657,1
broader sustainable,8.914584454488018,1,efficient bayesian,590.509987953257,1,theoretical significance,12.393383995950657,1
cases qualitative,8.914584454488018,1,improved hardware,590.509987953257,1,city modelling,12.391491397629459,3
classifying flood,8.914584454488018,1,multimodal architecture,590.509987953257,1,towards better,12.391045761525534,2
detect hidden,8.914584454488018,1,achieves regional,590.4646492059599,1,available crowdsensed,12.389114000411773,1
detect prevent,8.914584454488018,1,characterizing locations,590.4646492059599,1,field surveyors,12.389114000411773,1
difference soil,8.914584454488018,1,measure rising,590.4646492059599,1,globally available,12.389114000411773,1
difference vegetation,8.914584454488018,4,navigate proposes,590.4646492059599,1,plain region,12.389114000411773,1
either qualitative,8.914584454488018,1,solutions largely,590.4646492059599,1,tarai region,12.389114000411773,1
flood conditioning,8.914584454488018,1,useful extension,590.4646492059599,1,unbounded region,12.389114000411773,1
flood damage,8.914584454488018,1,general unstructured,590.387589311545,1,basemaps supervised,12.384638962237313,1
flood prevention,8.914584454488018,1,require manual,590.387589311545,1,explore never,12.384638962237313,1
garden landscape,8.914584454488018,1,require substantial,590.387589311545,1,find bikes,12.384638962237313,1
grid market,8.914584454488018,1,attention despite,590.383057002954,1,light stops,12.384638962237313,1
interpretation gwr,8.914584454488018,1,projects aiming,590.383057002954,1,ml pipeline,12.384638962237313,1
lacking especially,8.914584454488018,1,signatures acquired,590.383057002954,1,pakistan supervised,12.384638962237313,1
landscape became,8.914584454488018,1,similarity capturing,590.383057002954,1,sensors readings,12.384638962237313,1
landscape tends,8.914584454488018,1,similarity computation,590.383057002954,1,suite light,12.384638962237313,1
landscape uniformity,8.914584454488018,1,top agricultural,590.383057002954,1,systematizing heterogeneous,12.384638962237313,1
livelihood behavior,8.914584454488018,1,experiments show,589.0151777066466,5,multiple classes,12.376819814288288,2
location semantics,8.914584454488018,1,ntl datasets,588.6587670878761,1,urban landscape,12.367227721287417,12
lst variations,8.914584454488018,1,similarity measure,588.5367221832306,2,work proposes,12.36522607346409,2
main concern,8.914584454488018,1,airborne light,588.5276838330426,2,discontinuous technology,12.359277503737747,1
main functionalities,8.914584454488018,1,sensing scene,588.397016264382,2,isprs semantic,12.359277503737747,1
major priority,8.914584454488018,1,choice published,587.6980921506537,1,networked technology,12.359277503737747,1
minimize congestion,8.914584454488018,1,disasters leading,587.6980921506537,1,portable technology,12.359277503737747,1
mobile communications,8.914584454488018,1,lower degree,587.6980921506537,1,sand consumption,12.359277503737747,1
mountainous landscape,8.914584454488018,1,requires solving,587.6980921506537,1,sides therefore,12.359277503737747,1
obtaining lst,8.914584454488018,1,subsequently validated,587.6980921506537,1,version dynamic,12.359277503737747,1
predicted microclimate,8.914584454488018,1,supply industries,587.6980921506537,1,vr technology,12.359277503737747,1
predicted pseudorange,8.914584454488018,1,together leading,587.6980921506537,1,xkool technology,12.359277503737747,1
qualitative transition,8.914584454488018,1,transfer matrix,587.6980921506537,1,clustering repeated,12.359277503737745,1
realistic flood,8.914584454488018,1,walking behaviors,587.6980921506537,1,economic reasons,12.359277503737745,1
recently emerged,8.914584454488018,1,material consumption,585.932099954553,1,allows exploitation,12.357977242489804,1
recognition geodemographic,8.914584454488018,1,produced promising,585.8376187289188,2,allows selecting,12.357977242489804,1
relate mobile,8.914584454488018,1,better attraction,585.4148178600877,1,effectively earthquake,12.357977242489804,1
relief measures,8.914584454488018,1,consistently better,585.4148178600877,1,elements topical,12.357977242489804,1
result degrees,8.914584454488018,1,yields better,585.4148178600877,1,roads minor,12.357977242489804,1
result illustrated,8.914584454488018,1,expansion soft,585.2529719028537,1,roads sections,12.357977242489804,1
result indicates,8.914584454488018,1,notable impact,585.2529719028537,1,still inevitable,12.357977242489804,1
result suggesting,8.914584454488018,1,societal impact,585.2529719028537,1,accelerometer signals,12.3579772424898,1
similar sidewalks,8.914584454488018,1,algorithmic governance,585.1001995359868,1,equity conventional,12.3579772424898,1
steps firstly,8.914584454488018,1,autoencoder generated,585.1001995359868,1,migration still,12.3579772424898,1
suhi thus,8.914584454488018,1,detailed property,585.1001995359868,1,minor roads,12.3579772424898,1
sustainable urbanisation,8.914584454488018,1,generated objectively,585.1001995359868,1,environmental planning,12.355498193584133,4
tendency measures,8.914584454488018,1,geometrical structures,585.1001995359868,1,prediction ability,12.35533735170632,1
thus infer,8.914584454488018,1,presented obvious,585.1001995359868,1,adaboost lr,12.352802407507312,1
thus opening,8.914584454488018,1,sufficiently detailed,585.1001995359868,1,aggregated smartphones,12.352802407507312,1
thus requiring,8.914584454488018,1,vary significantly,585.1001995359868,1,background conceptual,12.352802407507312,1
update geographic,8.914584454488018,1,different combinations,583.1100225155237,3,densification neighbourhoods,12.352802407507312,1
vital role,8.914584454488018,4,paper analyzes,583.1100225155237,3,fast deal,12.352802407507312,1
without changing,8.914584454488018,1,rf classifier,581.4530197690258,3,full advantage,12.352802407507312,1
weather conditions,8.908490696575342,6,geographic movement,581.3266852431938,1,futures explores,12.352802407507312,1
airborne sar,8.907477567993757,1,human behavior,581.2873903223078,7,ii pixel,12.352802407507312,1
landslides susceptibility,8.907477567993757,1,computing hardware,579.933950032507,1,imageries share,12.352802407507312,1
achieve mae,8.903937210288511,1,horizontal resolution,579.933950032507,1,leverage collective,12.352802407507312,1
achieve satisfactory,8.903937210288511,1,loads respectively,579.933950032507,1,manual content,12.352802407507312,1
automation whereas,8.903937210288511,1,meters resolution,579.933950032507,1,mlp adaboost,12.352802407507312,1
calculating dynamic,8.903937210288511,1,nearest transit,579.933950032507,1,ndvi normalized,12.352802407507312,1
clustering protocols,8.903937210288511,1,pertinent issues,579.933950032507,1,overcome generic,12.352802407507312,1
compact moreover,8.903937210288511,1,quantum computing,579.933950032507,1,partitioning aiming,12.352802407507312,1
consumption profiles,8.903937210288511,1,sophisticated computing,579.933950032507,1,pedestrians moving,12.352802407507312,1
distinct topics,8.903937210288511,1,unveiling transit,579.933950032507,1,person tracking,12.352802407507312,1
economic progress,8.903937210288511,1,alone provided,579.8404510782335,1,products production,12.352802407507312,1
electricity consumption,8.903937210288511,2,face limitations,579.8404510782335,1,program involving,12.352802407507312,1
fuel consumption,8.903937210288511,1,rainfall volume,579.8404510782335,1,program solar,12.352802407507312,1
identifying electricity,8.903937210288511,1,reduce trap,579.8404510782335,1,station employing,12.352802407507312,1
industries play,8.903937210288511,1,exploratory search,579.827096545807,1,substantial improvements,12.352802407507312,1
inference engine,8.903937210288511,1,fully express,579.827096545807,1,takes advantage,12.352802407507312,1
landscapes makes,8.903937210288511,1,practice focusing,579.827096545807,1,works reported,12.352802407507312,1
mas technology,8.903937210288511,1,assessing spatially,579.8003893263098,1,apply machine,12.335973777081673,3
movements moreover,8.903937210288511,1,combines typical,579.8003893263098,1,along contours,12.334664462433617,1
probability matrix,8.903937210288511,1,entire county,579.8003893263098,1,along slopes,12.334664462433617,1
profiles moreover,8.903937210288511,1,get considerable,579.8003893263098,1,balanced influence,12.334664462433617,1
semantic depth,8.903937210288511,1,located university,579.8003893263098,1,cny along,12.334664462433617,1
semantic tags,8.903937210288511,1,serious fine,579.8003893263098,1,cruising strategy,12.334664462433617,1
settlements whereas,8.903937210288511,1,spatially distributed,579.8003893263098,1,enhancement along,12.334664462433617,1
therefore formulate,8.903937210288511,1,successfully modeled,579.8003893263098,1,existed along,12.334664462433617,1
therefore researches,8.903937210288511,1,tweets photographs,579.8003893263098,1,great marketing,12.334664462433617,1
transportation recreation,8.903937210288511,1,unique soundscape,579.8003893263098,1,great toronto,12.334664462433617,1
validated achieving,8.903937210288511,1,change luc,579.1397846053645,2,highly determinant,12.334664462433617,1
ventilation potentials,8.903937210288511,1,satellite image,578.2025658489146,39,highly populated,12.334664462433617,1
would enhance,8.903937210288511,1,structure entry,577.4273965584138,1,highly resolved,12.334664462433617,1
accident risk,8.898642910618998,1,topological structure,577.4273965584138,1,intrinsic attributes,12.334664462433617,1
analyses together,8.898642910618998,1,biased result,577.3032596229219,1,labelled points,12.334664462433617,1
combination comparable,8.898642910618998,1,causes major,577.3032596229219,1,particular whereby,12.334664462433617,1
computationally challenging,8.898642910618998,1,concern especially,577.3032596229219,1,randomized trees,12.334664462433617,1
economy solving,8.898642910618998,1,criminals behavior,577.3032596229219,1,sustainability scopes,12.334664462433617,1
income countries,8.898642910618998,1,encouraging result,577.3032596229219,2,sustainability threats,12.334664462433617,1
indicate interesting,8.898642910618998,1,iot creates,577.3032596229219,1,towards northern,12.334664462433617,1
matching scheme,8.898642910618998,1,iot displays,577.3032596229219,1,towards typogenetic,12.334664462433617,1
measured perceptual,8.898642910618998,1,major phases,577.3032596229219,1,urbanisation strategy,12.334664462433617,1
n literature,8.898642910618998,5,sequential behavior,577.3032596229219,1,agents showing,12.33349449295846,1
structural demographic,8.898642910618998,1,small robotic,577.3032596229219,1,agriculture education,12.33349449295846,1
typically associated,8.898642910618998,1,small scattered,577.3032596229219,1,every kernel,12.33349449295846,1
best predictor,8.898642910618996,1,user feedback,577.2982841129113,2,generating mass,12.33349449295846,1
nonlinear effects,8.898642910618996,2,advantages innovation,577.2323481923756,1,monitor threat,12.33349449295846,1
cover forestland,8.893367968578323,1,coordinate mitigation,577.2323481923756,1,university campus,12.33349449295846,1
cover replaced,8.893367968578323,1,machines outperformed,577.2323481923756,1,aesthetics hybrid,12.333494492958458,1
architecture lab,8.888112243126828,1,massive damage,577.2323481923756,1,band imaging,12.333494492958458,1
computation speed,8.888112243126828,1,modern games,577.2323481923756,1,meteorological stations,12.333494492958458,1
cv segmentation,8.888112243126828,1,park amenities,577.2323481923756,1,temporal changes,12.332570354645433,5
deliver efficient,8.888112243126828,1,prevention mitigation,577.2323481923756,1,activity eating,12.329880036993579,1
evolution mechanism,8.888112243126828,1,quantitatively determine,577.2323481923756,1,enterprise activity,12.329880036993579,1
experience fast,8.888112243126828,1,representative scene,577.2323481923756,1,equitable health,12.329880036993579,1
facilitating improved,8.888112243126828,1,transforming modern,577.2323481923756,1,health insurance,12.329880036993579,1
lot generation,8.888112243126828,1,creating weighted,577.2146230565953,1,longitudinal activity,12.329880036993579,1
mitigation aspect,8.888112243126828,1,grid operations,577.2146230565953,1,lsts obtained,12.329880036993579,1
pattern discovery,8.888112243126828,4,vital components,577.2146230565953,1,predicting terroristic,12.329880036993579,1
production rules,8.888112243126828,1,design codes,576.4273748620897,2,present iviztrans,12.329880036993579,1
safety improvements,8.888112243126828,2,interface networks,576.3086737288793,1,present noticeable,12.329880036993579,1
signatures required,8.888112243126828,1,demand estimation,576.0873587600075,2,central governments,12.325535130451698,1
valuable insights,8.885491542967692,2,crash location,575.5285957350346,2,chicago taxi,12.325535130451698,1
block level,8.88496797372192,4,automatical building,575.5221162526975,1,decreasing trend,12.325535130451698,1
activity visitor,8.882875594760682,1,building frontage,575.5221162526975,1,early signs,12.325535130451698,1
adverse health,8.882875594760682,1,building mac,575.5221162526975,2,needed considerations,12.325535130451698,1
analyzing starbucks,8.882875594760682,1,building reconstructions,575.5221162526975,1,rising trend,12.325535130451698,1
arterial signal,8.882875594760682,1,building renovation,575.5221162526975,1,scientific democratic,12.325535130451698,1
centerlines extraction,8.882875594760682,1,environment auditing,575.5221162526975,1,wearable devices,12.325535130451698,1
cold air,8.882875594760682,1,environment conducive,575.5221162526975,1,wide scope,12.325535130451698,1
community engagement,8.882875594760682,1,environment logging,575.5221162526975,1,audio descriptors,12.323226858257218,1
contours extraction,8.882875594760682,1,nonresidential buildings,575.0269598041315,1,farmland protection,12.323226858257218,1
critical peak,8.882875594760682,1,office buildings,575.0269598041315,1,interact affecting,12.323226858257218,1
drivers reach,8.882875594760682,1,one arising,575.0269598041315,1,manually labeled,12.323226858257218,1
eight periods,8.882875594760682,1,one facet,575.0269598041315,1,river basin,12.323226858257218,1
existing resampling,8.882875594760682,1,one month,575.0269598041315,1,river dem,12.323226858257218,1
extracted gaze,8.882875594760682,1,one observable,575.0269598041315,1,suitability assessments,12.323226858257218,1
feedback relation,8.882875594760682,1,key issues,574.2214231550648,4,timely updated,12.323226858257218,1
ideal green,8.882875594760682,1,real world,573.7779101064862,2,various tasks,12.320117302259376,2
keywords extraction,8.882875594760682,1,building usable,573.5370442898969,1,entire city,12.316157053031773,2
least absolute,8.882875594760682,1,findings revealed,573.4447226030682,2,design theories,12.31583952040748,1
matter pollution,8.882875594760682,1,design alternatives,572.4783670105888,3,analyse photos,12.314423607728648,1
nearby green,8.882875594760682,1,high confidence,571.9411317568669,1,connectivity profile,12.314423607728648,1
needed per,8.882875594760682,1,movement pattern,570.6528867694677,5,contribute positively,12.314423607728648,1
objectively extract,8.882875594760682,1,globally urbanization,569.9697132202458,1,designing soundscapes,12.314423607728648,1
phone records,8.882875594760682,2,meantime urbanization,569.9697132202458,1,engagement practices,12.314423607728648,1
present sufficient,8.882875594760682,1,turkey urbanization,569.9697132202458,1,exploration routes,12.314423607728648,1
training cnns,8.882875594760682,1,urbanization regulating,569.9697132202458,1,extreme storm,12.314423607728648,1
training derivatives,8.882875594760682,1,equivalent temperature,569.8077576770189,1,facilitates communication,12.314423607728648,1
utilising existing,8.882875594760682,1,temperature anomalies,569.8077576770189,1,facilitates exploration,12.314423607728648,1
travel behavior,8.88063712256468,9,outside thermal,569.72900176833,1,focused primarily,12.314423607728648,1
image retrieval,8.880264381304142,2,scientifically processing,569.72900176833,1,larger conversion,12.314423607728648,1
aerial vehicles,8.878402118181372,6,thermal loads,569.72900176833,1,modes adopting,12.314423607728648,1
factors altitude,8.872458978815343,1,adaptation providing,569.654641175159,1,primarily affected,12.314423607728648,1
factors concurrently,8.872458978815343,1,adopt vehicles,569.654641175159,1,usually referred,12.314423607728648,1
factors sea,8.872458978815343,1,aircraft providing,569.654641175159,1,valuable references,12.314423607728648,1
infrastructural factors,8.872458978815343,1,automated multisource,569.654641175159,1,vancouver relatively,12.314423607728648,1
redundant factors,8.872458978815343,1,book shows,569.654641175159,1,varying degrees,12.314423607728648,1
situational factors,8.872458978815343,1,call type,569.654641175159,1,varying priority,12.314423607728648,1
geometric forms,8.869003420179121,3,geometries second,569.654641175159,1,yet moderate,12.314423607728648,1
already residential,8.867278739709663,1,mainly clustered,569.654641175159,1,mostly based,12.314175476471103,2
discrimination index,8.867278739709663,1,second optimum,569.654641175159,1,outdoor environment,12.30246424257729,2
division index,8.867278739709663,1,textual forms,569.654641175159,1,accurate anonymized,12.300908873264982,1
index cdi,8.867278739709663,1,type incident,569.654641175159,1,accurate erc,12.300908873264982,1
index division,8.867278739709663,1,additional contexts,569.5977902882097,1,hilly regions,12.300908873264982,1
index vdvi,8.867278739709663,1,ais involved,569.5977902882097,1,regions except,12.300908873264982,1
innovation platform,8.867278739709663,1,analyse morphological,569.5977902882097,1,saliency maps,12.300908873264982,1
multiple actors,8.867278739709663,1,binary dependent,569.5977902882097,1,yields accurate,12.300908873264982,1
multiple modalities,8.867278739709663,1,binary description,569.5977902882097,1,regional level,12.289588904193787,2
policymakers often,8.867278739709663,1,connectivity established,569.5977902882097,1,aggregations spatial,12.289070885526108,1
pseudorange etc,8.867278739709663,1,deployed yet,569.5977902882097,1,atrous spatial,12.289070885526108,1
shadow etc,8.867278739709663,1,exist yet,569.5977902882097,1,mc spatial,12.289070885526108,1
spans multiple,8.867278739709663,1,increases contribute,569.5977902882097,1,nonconstant spatial,12.289070885526108,1
subset derived,8.867278739709663,1,measuring livability,569.5977902882097,1,spatial adjacency,12.289070885526108,1
xml index,8.867278739709663,1,price measuring,569.5977902882097,1,spatial cm,12.289070885526108,1
patch index,8.867278739709661,3,procedure involved,569.5977902882097,1,spatial differentiation,12.289070885526108,1
accurate anomaly,8.862117034593883,1,relatively consistent,569.5977902882097,1,spatial randomness,12.289070885526108,1
active focus,8.862117034593883,1,usually done,569.5977902882097,1,spatial syntactical,12.289070885526108,1
aggregations spatial,8.862117034593883,1,yet exist,569.5977902882097,1,accelerating improving,12.289044112393068,1
atrous spatial,8.862117034593883,1,predictive analytics,569.2352160317616,1,became recently,12.289044112393068,1
causes issues,8.862117034593883,1,related tweets,569.0684781382324,2,combining secondary,12.289044112393068,1
comprehensive methodological,8.862117034593883,1,method handles,565.0726190362574,2,flood losses,12.289044112393068,1
considered expensive,8.862117034593883,1,baic include,564.7141054385568,1,improving fuel,12.289044112393068,1
containing events,8.862117034593883,1,classify microblogging,564.7141054385568,1,improving pss,12.289044112393068,1
customer regions,8.862117034593883,1,correctly classify,564.7141054385568,1,recognize six,12.289044112393068,1
daily concentrations,8.862117034593883,1,enough green,564.7141054385568,1,save cost,12.289044112393068,1
demand side,8.862117034593883,1,iteratively place,564.7141054385568,1,six sections,12.289044112393068,1
designed builds,8.862117034593883,1,locating green,564.7141054385568,1,adequately evaluated,12.285909847098992,1
discovering regions,8.862117034593883,1,sml error,564.7141054385568,1,cnns trained,12.285909847098992,1
