uni_gram,uni_gram_freq,uni_gram_docIDs,bi_gram,bi_gram_freq,bi_gram_docIDs,tri_gram,tri_gram_freq,tri_gram_docIDs
uniformly,1,1,acceptable computational,1,1,development plans energy,1,1
tables,2,1,algorithms random,1,1,energy evaluation navigation,1,1
hafencity,1,1,communications fundamental,1,1,evaluated various machine,1,1
hamburg,1,1,consideration two,1,1,evaluation navigation visibility,1,1
peripherals,1,1,different altitudes,1,1,evolving towards automation,1,1
informatics,1,1,environments recently,1,1,experiments several geometric,1,1
intertwined,1,1,five different,1,1,generating city models,1,1
livable,1,1,forest outperforms,1,1,geometric features depending,1,1
reviewing,1,1,fundamental work,1,1,glo including roads,1,1
revolves,1,1,generate samples,1,1,ground level objects,1,1
pland,1,1,high flexibility,1,1,including three deep,1,1
recorder,1,1,learning software,1,1,level objects glo,1,1
setup,1,1,meanwhile two,1,1,main data sources,1,1
afghanistan,3,1,metrics including,1,1,management point clouds,1,1
kabul,3,1,moreover random,1,1,meaningful semantic classes,1,1
influx,2,1,multiple routes,1,1,namely aerial photogrammetry,1,1
closer,1,1,path visibility,1,1,navigation visibility analysis,1,1
displaced,1,1,prediction errors,1,1,objects glo including,1,1
felt,1,1,propagation characteristics,1,1,one machine learning,1,1
gentle,1,1,propose path,1,1,pavements vegetation buildings,1,1
halt,1,1,provide high,1,1,plans energy evaluation,1,1
hillside,1,1,realize reliable,1,1,proper semantic classes,1,1
hillsides,1,1,recently unmanned,1,1,semantic classes ground,1,1
institutional,1,1,reliable uav,1,1,several geometric features,1,1
internally,1,1,rmse meanwhile,1,1,technology point clouds,1,1
invasion,1,1,rx uavs,1,1,three deep learning,1,1
lasted,1,1,scenario based,1,1,urban development plans,1,1
lics,1,1,scenario moreover,1,1,vegetation buildings facades,1,1
migrated,1,1,set according,1,1,park accessibility changes,2,1
predominantly,1,1,smallest prediction,1,1,accessibility changes population,1,1
steeper,1,1,two algorithms,1,1,accessibility changes results,1,1
taliban,1,1,two empirical,1,1,accessibility model economic,1,1
acid,2,1,uav aa,1,1,achieved excellent park,1,1
subsequences,2,1,uav communications,1,1,analyzes dynamic park,1,1
whale,1,1,uav plays,1,1,associated social inequalities,1,1
circumference,3,1,cloud labelling,2,1,building environmentally sustainable,1,1
beside,1,1,cloud using,2,1,catchment area method,1,1
bulb,1,1,abstract point,1,1,chain substitution model,1,1
dresden,1,1,accurate labelling,1,1,changes population park,1,1
estimator,1,1,airborne urban,1,1,changes results show,1,1
physiognomy,1,1,classes still,1,1,communities achieved excellent,1,1
representatives,1,1,cloud connectivity,1,1,declined park accessibility,1,1
salzburg,1,1,coloured point,1,1,dynamic park access,1,1
shaded,1,1,compact manner,1,1,dynamic park accessibility,1,1
szeged,1,1,connectivity algorithm,1,1,economic chain substitution,1,1
vienna,1,1,connectivity established,1,1,elderly concentrated communities,1,1
nodal,3,1,dense lidar,1,1,environmentally sustainable cities,1,1
colocation,2,1,efficiency initially,1,1,equitable services using,1,1
colocated,1,1,efficient methods,1,1,examine park accessibility,1,1
failure,1,1,geometric space,1,1,excellent park accessibility,1,1
pipe,1,1,initially supervoxels,1,1,experience declined park,1,1
responding,1,1,label furthermore,1,1,floating catchment area,1,1
shortest,1,1,labelled points,1,1,geographical accessibility model,1,1
topologically,1,1,labelled segment,1,1,hangzhou metropolitan area,1,1
attempted,1,1,labelling abstract,1,1,impact deprived communities,1,1
inverse,1,1,labelling urban,1,1,improved park accessibility,1,1
irl,1,1,local connectivity,1,1,increases contribute positively,1,1
replicate,1,1,modelling automatic,1,1,landscapes park plays,1,1
demanded,1,1,novel classification,1,1,model economic chain,1,1
incomes,1,1,objects segments,1,1,network machine learning,1,1
picking,1,1,point density,1,1,new methodological framework,1,1
smape,1,1,produce meaningful,1,1,observed rising trend,1,1
symmetric,1,1,promising applications,1,1,paper analyzes dynamic,1,1
taxicabs,1,1,ranging data,1,1,park accessibility continued,1,1
vanilla,1,1,realistic objects,1,1,park increases contribute,1,1
assembled,1,1,realistic space,1,1,provides new methodological,1,1
operated,1,1,representing dense,1,1,rapidly urbanizing regions,1,1
poisson,1,1,segment label,1,1,sustainable cities thus,1,1
shedding,1,1,space conforming,1,1,transport network changes,1,1
speculated,1,1,studied results,1,1,transport network machine,1,1
xkool,2,1,supervoxel approach,1,1,urban landscapes park,1,1
alliance,1,1,technique supervoxels,1,1,urban park access,1,1
assistant,1,1,urban lidar,1,1,using reinforcement learning,2,1
ceo,1,1,used directly,1,1,adaptive regression splines,1,1
empowered,1,1,varying point,1,1,algorithm parametric performance,1,1
symbiosis,1,1,vision technique,1,1,alternatives using reinforcement,1,1
wanyu,1,1,within labelled,1,1,analysis presented relationships,1,1
assemblage,2,1,flow forecasting,5,1,applying generative design,1,1
caps,2,1,nonlinear relationship,2,1,approach using reinforcement,1,1
urbanity,2,1,affecting traffic,1,1,buildings using parametric,1,1
cut,1,1,amsterdam ring,1,1,campus design parameters,1,1
entries,1,1,constructing reasonable,1,1,deriving design strategies,1,1
incipient,1,1,effect model,1,1,design alternatives using,1,1
sociality,1,1,fast deal,1,1,design approach using,1,1
spatiality,1,1,flow aiming,1,1,design decisions however,1,1
streetlife,1,1,flow data,1,1,designing sustainable campus,1,1
tods,1,1,forecasting accurate,1,1,energy performance using,1,1
downscalingwas,1,1,forecasting effect,1,1,environment urban design,1,1
multivariable,1,1,global optimal,1,1,evaluate multiple performance,1,1
cim,4,1,highways connecting,1,1,generate possible design,1,1
worlds,3,1,however constructing,1,1,learning algorithm parametric,1,1
digitizing,2,1,hybrid learning,1,1,maintain optimal solar,1,1
paterns,2,1,intelligent traffic,1,1,methodology applying generative,1,1
toolboxes,2,1,model improves,1,1,multivariate adaptive regression,1,1
advocacy,1,1,nonlinear characteristics,1,1,multivariate analysis presented,1,1
asks,1,1,relationship affecting,1,1,new methodology applying,1,1
conjoining,1,1,reliable traffic,1,1,optimal energy balance,1,1
diagrammatic,1,1,ring road,1,1,optimal solar potential,1,1
drafting,1,1,robust forecasting,1,1,parametric performance modeling,1,1
liveable,1,1,search global,1,1,performance using reinforcement,1,1
notations,1,1,area extraction,2,1,possible design alternatives,1,1
placemaking,1,1,ffmax algorithm,2,1,proposes new methodology,1,1
reluctant,1,1,iterative method,2,1,qualified urban environment,1,1
repetitive,1,1,acquiring urban,1,1,regression splines approach,1,1
return,1,1,algorithm proposed,1,1,reliable design decisions,1,1
sketching,1,1,algorithm using,1,1,research proposes new,1,1
symbologies,1,1,automatic method,1,1,sky view factor,1,1
discriminate,1,1,extraction given,1,1,three major challenges,1,1
discriminator,1,1,gouinaud specially,1,1,urban buildings using,1,1
differenced,2,1,imagery according,1,1,urban design parameters,1,1
spp,2,1,images show,1,1,using parametric modeling,1,1
antenna,1,1,large window,1,1,visually qualified urban,1,1
impractical,1,1,letter presents,1,1,geographic object based,2,1
omnidirectional,1,1,method works,1,1,automated classification based,1,1
raim,1,1,proposed automatic,1,1,bayesian machine learning,1,1
rms,1,1,proposed experimental,1,1,catchment scale china,1,1
vitality,8,1,real sar,1,1,catchment scale however,1,1
correspond,1,1,spot imagery,1,1,catchment scale hydrologic,1,1
ends,1,1,statistical characteristics,1,1,china sponge city,1,1
investigators,1,1,unsupervised urban,1,1,cities hydrologic modelling,1,1
mochou,1,1,works quickly,1,1,classification results based,1,1
jilin,1,1,urban perception,4,1,classification results catchment,1,1
pl,2,1,adversarial scoring,2,1,classifier alone provided,1,1
sed,2,1,scoring framework,2,1,classify satellite images,1,1
egli,1,1,accurately assessing,1,1,cover classification accuracy,1,1
mhz,1,1,adversarial framework,1,1,cover classification highlight,1,1
transmitted,1,1,aspects demonstrated,1,1,cover classification results,1,1
notion,1,1,assessing local,1,1,cover results indicated,1,1
uniform,1,1,conduct local,1,1,create detailed land,1,1
posterior,2,1,describe adversarial,1,1,data including elevation,1,1
nonroad,1,1,driving factor,1,1,detailed land cover,1,1
mvii,3,1,errors less,1,1,detailed spatial data,1,1
interpreter,2,1,facilitating local,1,1,efficiently classify satellite,1,1
interpreters,2,1,factor analysis,1,1,generated land cover,1,1
aberrations,1,1,functional aspects,1,1,green roofs permeable,1,1
complications,1,1,images though,1,1,highly detailed spatial,1,1
congruence,1,1,incorporates deep,1,1,however highly detailed,1,1
expressed,1,1,iterative feedback,1,1,hydrologic modelling based,1,1
hereby,1,1,perception assessment,1,1,improved overall accuracy,1,1
individuality,1,1,perception assessments,1,1,including green roofs,1,1
morphologic,1,1,perception datasets,1,1,infrastructure including green,1,1
receive,1,1,perception derivations,1,1,involve widespread installation,1,1
rooftop,1,1,perception estimations,1,1,land cover results,1,1
suspend,1,1,proposed adversarial,1,1,learning classifier alone,1,1
unquestioned,1,1,provides perception,1,1,least cities hydrologic,1,1
archimedial,1,1,rapid solution,1,1,methods show great,1,1
depicted,1,1,recently created,1,1,new stormwater infrastructure,1,1
excavation,1,1,recommendation scores,1,1,overall land cover,1,1
forefront,1,1,regions remains,1,1,parcel delineations yielded,1,1
invites,1,1,remains problem,1,1,rainfall volume could,1,1
mediatizations,1,1,though urban,1,1,refine classification results,1,1
mediatized,1,1,using methodology,1,1,remote sensing methods,1,1
refinement,1,1,turning movements,3,1,results catchment scale,1,1
reproduces,1,1,intersection agents,2,1,roofs permeable pavements,1,1
demidov,1,1,turning movement,2,1,satellite imagery alone,1,1
nvidia,1,1,actions according,1,1,scale china sponge,1,1
outlets,1,1,advanced phase,1,1,scale however highly,1,1
sliced,1,1,agents operate,1,1,scale hydrologic modelling,1,1
supercomputer,1,1,collective learning,1,1,sensing methods show,1,1
yaroslavl,1,1,collective machine,1,1,show great promise,1,1
alarm,2,1,collective operations,1,1,significantly improved overall,1,1
intrusions,2,1,combining compatible,1,1,sponge city implementation,1,1
smote,2,1,compatible turning,1,1,sponge city initiative,1,1
audit,1,1,composition process,1,1,stormwater infrastructure including,1,1
automotive,1,1,congestion poses,1,1,study geographic object,1,1
dos,1,1,control operates,1,1,supplementary data including,1,1
threaten,1,1,decentralized manner,1,1,updated remote sensing,1,1
conform,1,1,dynamic environment,1,1,urban catchment area,1,1
criticized,1,1,dynamically combining,1,1,urban hydrologic modelling,1,1
disagreement,1,1,emerging technologies,1,1,feature learning techniques,2,1
inaccuracies,1,1,employing reinforcement,1,1,adversarial training scheme,1,1
crowdsensed,2,1,hierarchical control,1,1,analysis could benefit,1,1
bars,1,1,hierarchical modeling,1,1,applications however semantic,1,1
luxembourg,1,1,implement optimal,1,1,architectural changes towards,1,1
munich,1,1,important instruments,1,1,available vast amount,1,1
unveils,1,1,increasing traffic,1,1,challenging task primarily,1,1
handicap,1,1,individual intersections,1,1,changes towards learning,1,1
exclusively,1,1,intelligence traffic,1,1,choose image semantic,1,1
imply,1,1,intersection collection,1,1,could enable automatic,1,1
supermarket,1,1,intersection controllers,1,1,crop yield forecasting,1,1
uncovering,1,1,intersections modeled,1,1,enable automatic efficient,1,1
visited,1,1,learning increasing,1,1,ground imageries therefore,1,1
decides,1,1,light system,1,1,ground imageries unavailability,1,1
prospective,1,1,lights based,1,1,however semantic segmentation,1,1
definitions,1,1,local control,1,1,ii propose architectural,1,1
mcmc,1,1,local signal,1,1,image semantic inpainting,1,1
beliefs,1,1,movement agent,1,1,imageries play crucial,1,1
bogotá,1,1,movement agents,1,1,imagery overhead imageries,1,1
judgment,1,1,movements case,1,1,iv propose unified,1,1
sociocultural,1,1,movements moreover,1,1,large domain gap,1,1
usability,4,1,neighboring intersection,1,1,learning better features,1,1
developer,3,1,one way,1,1,making semantic segmentation,1,1
underpinnings,2,1,operate individually,1,1,overhead imageries play,1,1
chapters,1,1,operations performed,1,1,overhead imageries share,1,1
item,1,1,optimal actions,1,1,overhead imagery overhead,1,1
nuanced,1,1,optimized control,1,1,overhead scene parsing,1,1
richer,1,1,phase composition,1,1,parsing road network,1,1
usefully,1,1,poses significant,1,1,planning crop yield,1,1
axons,1,1,priority settings,1,1,policy making semantic,1,1
biology,1,1,process dynamically,1,1,pretext task difficulty,1,1
biomimicry,1,1,proposed traffic,1,1,propose architectural changes,1,1
circular,1,1,proposes traffic,1,1,propose unified approach,1,1
evolves,1,1,region agents,1,1,readily available vast,1,1
layering,1,1,region consists,1,1,road network extraction,1,1
mosaic,1,1,regions represented,1,1,scene parsing road,1,1
pixelated,1,1,relevant turning,1,1,segmentation could enable,1,1
probable,1,1,signal operations,1,1,segmentation ii propose,1,1
returning,1,1,significant challenges,1,1,segmentation iii propose,1,1
skyscraper,1,1,specific turning,1,1,semantic segmentation could,1,1
stratification,1,1,system enabled,1,1,semantic segmentation ii,1,1
vertically,1,1,timing decisions,1,1,semantic segmentation iii,1,1
rdd,1,1,traffic performance,1,1,semantic segmentation task,1,1
spaceborne,1,1,varying priority,1,1,study various feature,1,1
unet,1,1,world one,1,1,task difficulty gradually,1,1
icons,4,1,conditional random,3,1,task primarily due,1,1
consciousness,1,1,support region,3,1,task readily available,1,1
creek,1,1,adaptive data,2,1,unlabeled overhead imageries,1,1
explorative,1,1,clouds data,2,1,unsupervised feature learning,1,1
exponent,1,1,data reduction,2,1,various feature learning,1,1
multiplicator,1,1,random fields,2,1,yield forecasting mapping,1,1
overestimate,1,1,acquired large,1,1,multiple performance criteria,2,1
overestimation,1,1,adaptive support,1,1,various performance criteria,2,1
randomness,1,1,clouds acquired,1,1,algorithm generates numerous,1,1
scotchman,1,1,comparable classification,1,1,built forms sky,1,1
dimensionality,3,1,computed support,1,1,cc license http,1,1
faithful,1,1,contains relevant,1,1,conduct multivariate analysis,1,1
infrequent,1,1,data samples,1,1,connect generative design,1,1
projecting,1,1,discriminative conditional,1,1,criteria function derive,1,1
queuing,1,1,fields smaller,1,1,data driven urban,1,1
reconstructing,1,1,inference rate,1,1,design decision making,1,1
repeating,1,1,large outdoor,1,1,design decisions based,1,1
variances,1,1,maintaining comparable,1,1,design using multiple,1,1
auto,1,1,outdoor urban,1,1,driven urban design,1,1
favourable,1,1,point using,1,1,energy consumption synthetically,1,1
kilometers,1,1,random field,1,1,energy demands daylighting,1,1
manpower,1,1,relevant information,1,1,energy performance performance,1,1
saves,1,1,riegl terrestrial,1,1,enhance urban design,1,1
unlabelled,1,1,scale theory,1,1,forms sky opening,1,1
photo,2,1,selected instead,1,1,function derive guidelines,1,1
rome,2,1,showed improvement,1,1,future conduct multivariate,1,1
aesthetically,1,1,smaller set,1,1,generates numerous geometrical,1,1
pleasing,1,1,using conditional,1,1,geometric urban forms,1,1
scenic,1,1,using scale,1,1,integrated performance analysis,1,1
tour,1,1,experienced urban,2,1,learning technique along,1,1
accepts,1,1,various key,2,1,major limitations exist,1,1
determines,1,1,accuracy similar,1,1,measurement metrics published,1,1
eplanner,1,1,accurate design,1,1,numerous geometrical alternatives,1,1
ner,1,1,achieve citywide,1,1,opening solar radiation,1,1
powered,1,1,across areas,1,1,openings solar radiation,1,1
ura,1,1,algorithm segnet,1,1,optimizing urban design,1,1
superpixel,2,1,another machine,1,1,paper proposes data,1,1
descripted,1,1,approaches shows,1,1,parametric modeling techniques,1,1
frugal,1,1,areas meanwhile,1,1,performance criteria function,1,1
likewise,1,1,around screenshots,1,1,performance evaluation methods,1,1
orientations,1,1,automatically collect,1,1,performance measurement metrics,1,1
subsampled,1,1,building frontage,1,1,performance performance analysis,1,1
textures,1,1,citywide area,1,1,proposed methodology incorporates,1,1
citymatrix,1,1,citywide evaluation,1,1,proposes data driven,1,1
ineffective,1,1,continuous measurement,1,1,radiance two major,1,1
maintains,1,1,continuous measurements,1,1,sky opening solar,1,1
neither,1,1,design guidance,1,1,sky openings solar,1,1
uninformed,1,1,detailed results,1,1,two major limitations,1,1
unseen,1,1,diversity program,1,1,urban built forms,1,1
versatile,1,1,efficient street,1,1,urban design alternatives,1,1
anomaly,4,1,elements affecting,1,1,urban design decision,1,1
tracker,4,1,emerged street,1,1,urban design decisions,1,1
hmm,2,1,frontage greenery,1,1,urban design using,1,1
abnormal,1,1,greenery sky,1,1,using multiple performance,1,1
associates,1,1,images another,1,1,colour infrared images,4,1
detections,1,1,intelligently extract,1,1,deciduous tree species,2,1
escaping,1,1,low effects,1,1,spectral properties extracted,2,1
foreground,1,1,meanwhile insights,1,1,adopted colour infrared,1,1
loitering,1,1,model obtains,1,1,alternative imaging platforms,1,1
shooting,1,1,obtains satisfactory,1,1,bands classification error,1,1
smoke,1,1,often relied,1,1,bekas manned aircraft,1,1
tracks,1,1,perceived visual,1,1,better tree species,1,1
violent,1,1,pixels representing,1,1,cameras installed onboard,1,1
assorted,1,1,proposes workable,1,1,city lithuania sixteen,1,1
liable,1,1,providing accurate,1,1,classification error matrices,1,1
umbrella,1,1,providing continuous,1,1,classification perceptron using,1,1
admittedly,1,1,quality across,1,1,classification testing five,1,1
bottomup,1,1,quantitatively measuring,1,1,classifications using hyperspectral,1,1
fame,1,1,recently emerged,1,1,colour infrared cameras,1,1
gotten,1,1,representative sample,1,1,conventional machine learning,1,1
guideline,1,1,representing key,1,1,different alternative imaging,1,1
macroeconomic,1,1,sample images,1,1,discussed using simulated,1,1
multifarious,1,1,satisfactory accuracy,1,1,economically sound solution,1,1
corinthian,2,1,site around,1,1,environment one may,1,1
roman,2,1,space motorisation,1,1,even though classifications,1,1
cartesian,1,1,street renewal,1,1,facilitate tree mapping,1,1
centroid,1,1,streets continuous,1,1,field inventoried trees,1,1
infinitely,1,1,streets including,1,1,five conventional machine,1,1
rho,1,1,subjective impressions,1,1,frame format hyperspectral,1,1
spherical,1,1,town centre,1,1,green space inventories,1,1
symmetry,1,1,unmeasurable quality,1,1,hyperspectral data cubes,1,1
theta,1,1,view pedestrian,1,1,hyperspectral images resulted,1,1
urbanizations,1,1,workable approach,1,1,hyperspectral imaging using,1,1
clutter,1,1,green urban,4,1,identify deciduous tree,1,1
exemplified,1,1,extracting green,2,1,image even though,1,1
itinerary,1,1,provide combination,1,1,images classification performance,1,1
request,1,1,analyzing satellite,1,1,images improved slightly,1,1
tiles,1,1,copernicus mission,1,1,images three research,1,1
webmapping,1,1,different towns,1,1,imaging flight missions,1,1
overcrowded,1,1,environments two,1,1,imaging platform design,1,1
spacescape,2,1,fit best,1,1,imaging platforms like,1,1
ontologies,1,1,highest degree,1,1,imaging platforms sensors,1,1
peculiar,1,1,improve town,1,1,imaging projects assuming,1,1
bytča,1,1,kappa index,1,1,imaging system based,1,1
dionýz,1,1,machine accuracy,1,1,imaging using aircraft,1,1
geologically,1,1,mission satellite,1,1,individual crown level,1,1
kysucké,1,1,optimal combination,1,1,infrared cameras installed,1,1
liblinear,1,1,overall kappa,1,1,infrared images classification,1,1
libsvm,1,1,svm since,1,1,infrared images improved,1,1
mesto,1,1,town environments,1,1,infrared images three,1,1
nové,1,1,ultimately improve,1,1,installed onboard bekas,1,1
polynomial,1,1,used model,1,1,introduced two test,1,1
primal,1,1,spectral unmixing,2,1,kaunas city lithuania,1,1
slovakia,1,1,accuracy even,1,1,least field inventoried,1,1
štúr,1,1,achieve excellent,1,1,moderate classification accuracy,1,1
žilina,1,1,acquired satellite,1,1,nikon adopted colour,1,1
od,1,1,annotated training,1,1,onboard bekas manned,1,1
stay,1,1,city experimental,1,1,one may consider,1,1
british,1,1,classification powerful,1,1,relatively larger accuracies,1,1
calls,1,1,complex relationships,1,1,rikola frame format,1,1
canada,1,1,contemporary data,1,1,scientific aspects related,1,1
columbia,1,1,data going,1,1,significantly better tree,1,1
framed,1,1,diverse training,1,1,simulated imaging projects,1,1
jurisdiction,1,1,drastically different,1,1,six deciduous tree,1,1
roving,1,1,employ contemporary,1,1,species classification ability,1,1
shrinkage,1,1,environment agency,1,1,statistically different alternative,1,1
simplifying,1,1,european environment,1,1,test imaging flight,1,1
unscheduled,1,1,examples surpassing,1,1,testing five conventional,1,1
comprehensible,1,1,exploit examples,1,1,though classifications using,1,1
kobe,1,1,field studies,1,1,three research questions,1,1
quicker,1,1,going multilabel,1,1,tree mapping characterization,1,1
openness,1,1,human annotation,1,1,tree species classification,1,1
terroristic,2,1,hyperion sensor,1,1,two test imaging,1,1
alarming,1,1,imagery allowing,1,1,urban environment exploring,1,1
alerts,1,1,introduces radically,1,1,urban environment one,1,1
attack,1,1,introducing drastically,1,1,using hyperspectral data,1,1
crafted,1,1,label set,1,1,using simulated imaging,1,1
exposing,1,1,materials introducing,1,1,vegetation species mapping,1,1
proactively,1,1,modis sensor,1,1,air temperature forecast,1,1
simulates,1,1,multilabel classification,1,1,air temperature information,1,1
names,1,1,multilabel learning,1,1,air temperature resolution,1,1
viruses,1,1,multilabel obtaining,1,1,area city temperature,1,1
characters,2,1,neighboring regions,1,1,better forecasting data,1,1
metroped,2,1,powerful framework,1,1,better resolved spatially,1,1
viewer,1,1,present results,1,1,characteristics change rapidly,1,1
changsha,3,1,radically novel,1,1,city temperature prediction,1,1
forestland,2,1,results using,1,1,detailed temperature characteristics,1,1
bore,1,1,several multilabel,1,1,diverse weather phenomena,1,1
burden,1,1,spectral profiles,1,1,estimated air temperatures,1,1
converting,1,1,surface materials,1,1,estimating weather forecasts,1,1
fragstats,1,1,surpassing spectral,1,1,higher resolution spatial,1,1
mps,1,1,time instances,1,1,information services based,1,1
regressed,1,1,unmixing methods,1,1,korea meteorological administration,1,1
sum,1,1,unsupervised spectral,1,1,korean peninsula however,1,1
cape,5,1,mobility flows,3,1,local data assimilation,1,1
provincial,3,1,semantic enrichment,2,1,localweather information services,1,1
aii,2,1,analytical approaches,1,1,model local data,1,1
embraces,2,1,becoming decision,1,1,processed using statistical,1,1
appointed,1,1,bike sharing,1,1,produce better forecasting,1,1
commit,1,1,capturing mobility,1,1,resolution spatial decomposition,1,1
documentation,1,1,data recorded,1,1,resolved spatially air,1,1
emanating,1,1,fleet management,1,1,small spatial area,1,1
funds,1,1,flows mobility,1,1,spatial area city,1,1
maximise,1,1,gis systems,1,1,spatial decomposition capabilities,1,1
revise,1,1,increasingly grown,1,1,spatially air temperature,1,1
sphere,1,1,localisation technologies,1,1,surface characteristics change,1,1
crudeness,1,1,novel analytical,1,1,temperature forecast system,1,1
hispanic,1,1,obtained semantic,1,1,temperature prediction model,1,1
shortening,1,1,paper applies,1,1,unified model local,1,1
ascended,1,1,real dataset,1,1,various numerical models,1,1
catalysed,1,1,semantic decompositions,1,1,cause major positioning,1,1
entrenched,1,1,sharing network,1,1,code correlation peak,1,1
furthering,1,1,structuring mobility,1,1,conduct nlos classification,1,1
kartaview,1,1,support platform,1,1,correlation function using,1,1
licence,1,1,temporal decomposition,1,1,nlos classifier based,1,1
mapillary,1,1,topic modelling,1,1,nlos correlation function,1,1
myriads,1,1,trip counts,1,1,process within gnss,1,1
permissive,1,1,ubiquitous novel,1,1,proposes novel nlos,1,1
screened,1,1,mason bee,3,1,realizing machine learning,1,1
tacit,1,1,microsite conditions,3,1,within gnss receivers,1,1
appending,1,1,red mason,3,1,educational data mining,2,1
drawings,1,1,sun exposure,3,1,automated detection student,1,1
infers,1,1,bee osmia,2,1,chat conversation class,1,1
pixelization,1,1,floral resources,2,1,class discussion etc,1,1
rebuilding,1,1,landscape factors,2,1,classification method using,1,1
vectorized,1,1,osmia bicornis,2,1,conversation class discussion,1,1
voxels,1,1,wild bee,2,1,data mining edm,1,1
dengue,9,1,artificial nest,1,1,detection student personality,1,1
incidence,4,1,attachment position,1,1,develop user adaptable,1,1
mob,3,1,balanced influence,1,1,educational game land,1,1
recursive,3,1,bicornis hymenoptera,1,1,educational game one,1,1
ovitrap,2,1,biotope data,1,1,hand individual behavior,1,1
afterward,1,1,buildings provide,1,1,huge impact edm,1,1
coexist,1,1,cities responds,1,1,intelligent tutoring systems,1,1
eggs,1,1,clearly profits,1,1,introduce novel data,1,1
endemic,1,1,collected information,1,1,language processing approaches,1,1
entomological,1,1,common wild,1,1,mining edm thus,1,1
hatch,1,1,conditions dominate,1,1,naive bayes support,1,1
manila,1,1,data map,1,1,novel data mining,1,1
modulated,1,1,derived landscape,1,1,personality classification method,1,1
proportions,1,1,digital gis,1,1,personality play major,1,1
rainy,1,1,dominate habitat,1,1,play major role,1,1
submerged,1,1,drivers behind,1,1,student modeling based,1,1
transmission,1,1,edge length,1,1,user adaptable system,1,1
cgf,2,1,eight local,1,1,using data mining,1,1
svf,2,1,employed citizen,1,1,urban pluvial flooding,3,1
sae,2,1,environment case,1,1,aftermath urban water,1,1
staked,2,1,expected balanced,1,1,approaches case study,1,1
disappointing,1,1,exposure attachment,1,1,assist early warning,1,1
gently,1,1,exposure cities,1,1,binary result flood,1,1
industrialization,1,1,flower availability,1,1,characteristics including peak,1,1
dtex,6,1,flower sites,1,1,china urban pluvial,1,1
away,1,1,germany volunteers,1,1,city china urban,1,1
congregation,1,1,gis biotope,1,1,classifying flood events,1,1
directing,1,1,good environment,1,1,computationally expensive using,1,1
extrapolated,1,1,habitat selection,1,1,conventional critical rainfall,1,1
gameday,1,1,hang location,1,1,critical rainfall curve,1,1
hottest,1,1,higher sun,1,1,determine several rainfall,1,1
plazas,1,1,housing structure,1,1,early warning systems,1,1
sensitivities,1,1,hung trap,1,1,expensive using rainfall,1,1
surged,1,1,hymenoptera megachilidae,1,1,false alert rate,1,1
novelty,1,1,important followed,1,1,flood events based,1,1
offender,1,1,investigate drivers,1,1,flood events especially,1,1
densification,11,1,local flower,1,1,flood previous studies,1,1
archetype,1,1,local microsite,1,1,forecasting pluvial flood,1,1
archetypes,1,1,many floral,1,1,frequent pluvial flood,1,1
embeddedness,1,1,map distance,1,1,hydraulic models requiring,1,1
localised,1,1,matrix properties,1,1,including peak intensity,1,1
prioritising,1,1,multiple logistic,1,1,intensities greatly raising,1,1
realised,1,1,nearby floral,1,1,intensity arrival time,1,1
contend,1,1,nesting opportunities,1,1,learning approaches case,1,1
disjoint,1,1,open housing,1,1,learning ml approaches,1,1
songdo,4,1,opportunities artificial,1,1,ml approaches applied,1,1
meta,1,1,places without,1,1,models requiring large,1,1
rsme,1,1,position local,1,1,paper uses rainfall,1,1
yielding,1,1,private gardens,1,1,peak intensity arrival,1,1
skin,2,1,resources although,1,1,pluvial flood events,1,1
turkey,2,1,science approach,1,1,pluvial flood previous,1,1
utfvi,2,1,solitary bee,1,1,pluvial flooding prediction,1,1
diminished,1,1,suitable nesting,1,1,positive rate tpr,1,1
harsh,1,1,trap nest,1,1,precipitation characteristics including,1,1
replacement,1,1,trap nests,1,1,predict flooding based,1,1
ugsi,1,1,urban habitat,1,1,predict precipitation characteristics,1,1
uli,1,1,volunteers hung,1,1,prevent flood occurrence,1,1
unearth,1,1,without suitable,1,1,proposed models especially,1,1
aihce,3,1,case produced,2,1,provide rational information,1,1
emphasis,1,1,causal factors,2,1,provides binary result,1,1
ferm,1,1,landslide locations,2,1,rainfall intensities greatly,1,1
hedonistic,1,1,three statistical,2,1,rainfall threshold lines,1,1
pursuing,1,1,wanzhou county,2,1,recent years given,1,1
siem,1,1,analysis landslide,1,1,requiring large volume,1,1
conversely,1,1,certainty factor,1,1,several rainfall threshold,1,1
cores,1,1,china landslide,1,1,subsequent aftermath urban,1,1
imageability,1,1,county three,1,1,subspace discriminant analysis,1,1
interview,1,1,curve analysis,1,1,take emergency actions,1,1
pudong,1,1,earlier geotechnical,1,1,threatening natural hazard,1,1
renowned,1,1,effective causal,1,1,threshold lines projected,1,1
svis,1,1,entropy ioe,1,1,true positive rate,1,1
validates,1,1,factor correlation,1,1,two principal components,1,1
envelopment,2,1,factors cases,1,1,urban water managers,1,1
dea,1,1,factors landslide,1,1,uses rainfall threshold,1,1
holistically,1,1,factors via,1,1,using rainfall threshold,1,1
pcii,1,1,four cases,1,1,water managers aim,1,1
demystifying,1,1,fourteen landslide,1,1,actual maps obtained,1,1
fulltext,1,1,geotechnical investigation,1,1,automata markov chain,1,1
regularization,1,1,gorges reservoir,1,1,balance urban expansion,1,1
