doc_id,title,score,similar_cluster_no,similar_doc_id,similar_title
,,0.55,9,270,Cell-to-cell activity prediction for smart cities
438,Identifying urban poverty using high-resolution satellite imagery and machine learning approaches: Implications for housing inequality,0.8000,-1,263,"Mapping poverty and slums using multiple methodologies in Accra, Ghana"
,,0.76,4,531,Mapping Urban Slum Settlements Using Very High-Resolution Imagery and Land Boundary Data
,,0.75,4,110,Deprivation pockets through the lens of convolutional neural networks
,,0.74,4,223,Using GIS and machine learning to classify residential status of urban buildings in low and middle income settings
,,0.72,4,488,Estimating Socio-Economic Parameters via Machine Learning Methods Using Luojia1-01 Nighttime Light Remotely Sensed Images at Multiple Scales of China in 2018
,,0.72,5,329,Modeling fine-scale residential land price distribution: An experimental study using open data and machine learning
,,0.71,6,390,Holistic visual data representation for built environment assessment
,,0.70,5,432,Sustainable development scale of housing estates: An economic assessment using machine learning approach
,,0.68,4,540,Machine Learning for Strategic Urban Planning
,,0.68,6,427,"Panoramic street-level imagery in data-driven urban research: A comprehensive global review of applications, techniques, and practical considerations"
,,0.68,5,222,Estimating quality of life dimensions from urban spatial pattern metrics
,,0.68,6,271,Urban land use information retrieval based on scene classification of Google Street View images
,,0.68,4,228,Population spatialization in Beijing city based on machine learning and multisource remote sensing data
,,0.68,4,112,Regional mapping of essential urban land use categories in China: A segmentation-based approach
,,0.67,4,76,A Random Forests classification method for urban land-use mapping integrating spatial metrics and texture analysis
,,0.67,4,41,Building block level urban land-use information retrieval based on Google Street View images
,,0.67,5,172,Analyzing the spatial factors related to the distributions of building heights in urban areas: A comparative case study in Guangzhou and Shenzhen
,,0.66,4,324,Mapping essential urban land use categories with open big data: Results for five metropolitan areas in the United States of America
,,0.66,-1,342,Classification of Urban Functional Areas from Remote Sensing Images and Time-Series User Behavior Data
,,0.66,4,68,Analyzing land cover change and urban growth trajectories of the mega-urban region of Dhaka using remotely sensed data and an ensemble classifier
,,0.66,-1,463,Machine Learning Predictors for Sustainable Urban Planning
,,0.66,5,474,Analysis of built-up areas of small polish cities with the use of deep learning and geographically weighted regression
,,0.66,-1,174,"Comparison of approaches for urban functional zones classification based on multi-source geospatial data: A case study in Yuzhong District, Chongqing, China"
,,0.66,6,410,Street view imagery in urban analytics and GIS: A review
,,0.65,-1,184,A machine learning-based classification system for urban built-up areas using multiple classifiers and data sources
,,0.65,4,19,Using convolutional networks and satellite imagery to identify patterns in urban environments at a large scale
,,0.65,4,471,"Object-Oriented Approach for Urbanization Growth by Using Remote Sensing and GIS Techniques: A Case Study in Hilla City, Babylon Governorate, Iraq"
,,0.65,5,564,"Urban sprawl modeling of Lahore, Pakistan using machine learning techniques"
,,0.65,4,431,"Identifying different types of urban land use dynamics using Point-of-interest (POI) and Random Forest algorithm: The case of Huizhou, China"
,,0.65,5,96,Predicting multiple land use transitions under rapid urbanization and implications for land management and urban planning: The case of Zhanggong District in central China
480,Measuring sustainability and urban data operationalization: An integrated computational framework to evaluate and interpret the performance of the urban form,0.8000,5,149,"Generative design and performance modeling for relationships between urban built forms, sky opening, solar radiation and energy"
,,0.75,6,43,StreetVizor: Visual Exploration of Human-Scale Urban Forms Based on Street Views
,,0.74,7,386,Machine learning for real-time urban metrics and design recommendations
,,0.73,5,146,Multivariate relationships between campus design parameters and energy performance using reinforcement learning and parametric modeling
,,0.73,3,218,Procedural lot generation for evolutionary urban layout optimization in urban regeneration decision support
,,0.73,6,27,Measuring daily accessed street greenery: A human-scale approach for informing better urban planning practices
,,0.71,6,252,A data-informed analytical approach to human-scale greenway planning: Integrating multi-sourced urban data with machine learning algorithms
,,0.69,6,557,The Social Life of Small Urban Spaces 2.0: Three Experiments in Computational Urban Studies
,,0.68,5,101,Identifying urban geometric types as energy performance patterns
,,0.68,5,287,Learning from urban form to predict building heights
,,0.68,7,555,"Algorithms, AI and architecture"
,,0.67,7,357,Viewpoint: City Information Modelling (CIM) and Digitizing Urban Design Practices
,,0.67,5,36,Mapping urban form and function at city block level using spatial metrics
,,0.67,6,16,Measuring visual enclosure for street walkability: Using machine learning algorithms and Google Street View imagery
,,0.67,7,556,"18th International Conference on Computer-Aided Architectural Design Futures, CAAD Futures 2019"
,,0.67,6,62,The visual quality of streets: A human-centred continuous measurement based on machine learning algorithms and street view images
,,0.67,6,470,Evolution of historical urban landscape with computer vision and machine learning: A case study of Berlin
,,0.67,5,119,"A data-driven approach for multi-scale GIS-based building energy modeling for analysis, planning and support decision making"
,,0.66,-1,463,Machine Learning Predictors for Sustainable Urban Planning
,,0.66,7,317,Towards typogenetic tools for generative urban aesthetics
,,0.66,-1,259,Machine Learning Assisted Urban Filling
,,0.66,5,479,Estimating the influence of building and urban form on the thermal loads of urban dwellings in the Mediterranean climate using machine learning
,,0.66,7,569,Designing with citizens: Challenges and evaluation methods for crowd-sourced urban layouts
,,0.66,7,282,Towards the collaborative development of machine learning techniques in planning support systems – a Sydney example
,,0.66,6,115,A systematic measurement of street quality through multi-sourced Urban data: A human-oriented analysis
,,0.66,8,344,Opportunities and challenges of geospatial analysis for promoting urban livability in the era of big data and machine learning
,,0.65,3,244,Selecting artificial intelligence urban models using waves of complexity
,,0.65,6,15,A machine learning-based method for the large-scale evaluation of the qualities of the urban environment
,,0.65,7,466,Visual Analytics of Urban Informality and Infrastructure Planning with Tableau for Sustainable Urban Design Research Strategies in Lagos Metropolis
,,0.65,7,482,Introduction to Urban Computing
536,Urban street contexts classification using convolutional neural networks and streets imagery,0.7900,4,19,Using convolutional networks and satellite imagery to identify patterns in urban environments at a large scale
,,0.75,-1,194,Classification of sidewalks in street view images
,,0.74,-1,88,Understanding cities with machine eyes: A review of deep computer vision in urban analytics
,,0.73,6,271,Urban land use information retrieval based on scene classification of Google Street View images
,,0.72,6,239,Deep CNN-based methods to evaluate neighborhood-scale urban valuation through street scenes perception
,,0.72,6,546,Variational beauty of space: Machine intuition and non-linear neural aggregations
,,0.72,6,360,An investigation of the visual features of urban street vitality using a convolutional neural network
,,0.71,4,41,Building block level urban land-use information retrieval based on Google Street View images
,,0.70,4,428,Comparing three machine learning techniques for building extraction from a digital surface model
,,0.70,6,11,Measuring human perceptions of a large-scale urban region using machine learning
,,0.70,4,81,Building extraction from LiDAR data applying deep convolutional neural networks
,,0.70,9,507,A deep learning approach to urban street functionality prediction based on centrality measures and stacked denoising autoencoder
,,0.70,2,483,AI and Deep Learning for Urban Computing
,,0.70,4,3,Building detection in very high resolution multispectral data with deep learning features
,,0.69,6,59,A human-machine adversarial scoring framework for urban perception assessment using street-view images
,,0.69,4,389,Understanding Historical Cityscapes from Aerial Imagery Through Machine Learning
,,0.69,6,436,Urban morphological feature extraction and multi-dimensional similarity analysis based on deep learning approaches
,,0.68,2,106,Urban traffic flow analysis based on deep learning car detection from cctv image series
,,0.68,4,156,A locally-constrained YOLO framework for detecting small and densely-distributed building footprints
,,0.68,-1,217,Classification of urban scenes from georeferenced images in urban street-view context
,,0.67,4,256,A generalized multi-task learning approach to stereo DSM filtering in urban areas
,,0.67,4,460,Use of deep learning models in street-level images to classify one-story unreinforced masonry buildings based on roof diaphragms
,,0.67,4,125,Object-based detection of vehicles using combined optical and elevation data
,,0.67,4,148,Self-supervised feature learning for semantic segmentation of overhead imagery
,,0.67,4,144,Aerial point cloud classification with deep learning and machine learning algorithms
,,0.67,4,220,Attention-Gate-Based Encoder-Decoder Network for Automatical Building Extraction
,,0.67,4,110,Deprivation pockets through the lens of convolutional neural networks
,,0.67,4,249,Deep learning-based multi-feature semantic segmentation in building extraction from images of UAV photogrammetry
,,0.66,6,423,Subjectively measured streetscape perceptions to inform urban design strategies for Shanghai
,,0.66,-1,314,Detecting advertising on building façades with computer vision
44,Citizen-centered big data analysis-driven governance intelligence framework for smart cities,0.7800,-1,250,A value of civic voices for smart city: A big data analysis of civic queries posed by Seoul citizens
,,0.75,7,4,"On big data, artificial intelligence and smart cities"
,,0.74,9,405,Urban computing and smart cities: Opportunities and challenges in modelling large-scale aggregated human behavior
,,0.73,7,305,Participatory AI: Reducing AI bias and developing socially responsible AI in smart cities
,,0.71,8,344,Opportunities and challenges of geospatial analysis for promoting urban livability in the era of big data and machine learning
,,0.71,8,140,How should urban planners be trained to handle big data?
,,0.70,7,525,"5th EAI International Smart City 360 Summit, 2019"
,,0.70,7,482,Introduction to Urban Computing
,,0.69,9,92,Cyber Cities: Social Media as a Tool for Understanding Cities
,,0.68,7,289,Machine learning technologies for sustainability in smart cities in the post-covid era
,,0.68,8,248,A framework to simplify pre-processing location-based social media big data for sustainable urban planning and management
,,0.68,7,94,Smart cities and a data-driven response to COVID-19
,,0.67,7,337,A Review of AI for Urban Planning: Towards Building Sustainable Smart Cities
,,0.67,9,574,"Processing, mining and visualizing massive urban data"
,,0.66,8,164,Social media data analysis in urban e-planning
,,0.66,5,52,Upscaling urban data science for global climate solutions
,,0.65,-1,519,IFDaD 2020 - Proceedings of the 1st International Forum on Digital and Democracy. Towards A Sustainable Evolution 2020
,,0.65,7,7,On the coronavirus (Covid-19) outbreak and the smart city network: Universal data sharing standards coupled with artificial intelligence (ai) to benefit urban health monitoring and management
,,0.65,-1,187,Kadaster knowledge graph: Beyond the fifth star of open data
,,0.64,7,282,Towards the collaborative development of machine learning techniques in planning support systems – a Sydney example
,,0.64,7,47,Semantic framework of internet of things for smart cities: Case studies
,,0.64,8,162,Analyzing Objective and Subjective Data in Social Sciences: Implications for Smart Cities
,,0.64,7,464,Smart Urban Mobility: When Mobility Systems Meet Smart Data
,,0.63,-1,129,Artificial intelligence technologies and related urban planning and development concepts: How are they perceived and utilized in Australia?
,,0.63,-1,551,Exploring different combinations of data and methods for urban land use analysis: A survey
,,0.63,8,170,Automated classification of social network messages into Smart Cities dimensions
,,0.63,7,433,Nordic Cities Meet Artificial Intelligence
,,0.63,8,312,An AI Approach to Collecting and Analyzing Human Interactions with Urban Environments
,,0.63,7,500,"Evaluation of Smart Infrastructure Systems and Novel UV-Oriented Solution for Integration, Resilience, Inclusiveness, and Sustainability"
,,0.63,3,509,Urban Planning Reform Trend Based on Artificial Intelligence
250,A value of civic voices for smart city: A big data analysis of civic queries posed by Seoul citizens,0.7800,-1,44,Citizen-centered big data analysis-driven governance intelligence framework for smart cities
,,0.74,8,248,A framework to simplify pre-processing location-based social media big data for sustainable urban planning and management
,,0.72,8,164,Social media data analysis in urban e-planning
,,0.71,8,208,Game-based crowdsourcing to support collaborative customization of the definition of sustainability
,,0.70,9,405,Urban computing and smart cities: Opportunities and challenges in modelling large-scale aggregated human behavior
,,0.70,-1,129,Artificial intelligence technologies and related urban planning and development concepts: How are they perceived and utilized in Australia?
,,0.69,7,4,"On big data, artificial intelligence and smart cities"
,,0.69,9,578,STA: A spatio-temporal thematic analytics framework for urban ground sensing
,,0.68,7,525,"5th EAI International Smart City 360 Summit, 2019"
,,0.68,8,344,Opportunities and challenges of geospatial analysis for promoting urban livability in the era of big data and machine learning
,,0.68,7,305,Participatory AI: Reducing AI bias and developing socially responsible AI in smart cities
,,0.67,8,170,Automated classification of social network messages into Smart Cities dimensions
,,0.67,7,337,A Review of AI for Urban Planning: Towards Building Sustainable Smart Cities
,,0.67,9,92,Cyber Cities: Social Media as a Tool for Understanding Cities
,,0.66,8,312,An AI Approach to Collecting and Analyzing Human Interactions with Urban Environments
,,0.66,8,162,Analyzing Objective and Subjective Data in Social Sciences: Implications for Smart Cities
,,0.66,7,515,Smart urban futures: Outlining the smart city planning project
,,0.65,9,574,"Processing, mining and visualizing massive urban data"
,,0.65,7,289,Machine learning technologies for sustainability in smart cities in the post-covid era
,,0.64,7,433,Nordic Cities Meet Artificial Intelligence
,,0.64,9,107,Structure of 311 service requests as a signature of urban location
,,0.64,8,140,How should urban planners be trained to handle big data?
,,0.64,7,482,Introduction to Urban Computing
,,0.63,9,370,Crowdsensed Data Learning-Driven Prediction of Local Businesses Attractiveness in Smart Cities
,,0.63,-1,187,Kadaster knowledge graph: Beyond the fifth star of open data
,,0.63,7,495,The City of the Future: The Urban (Un) Seen Connecting Citizens and Spaces via Community Sensing
,,0.61,3,509,Urban Planning Reform Trend Based on Artificial Intelligence
,,0.61,9,233,Topic modeling to discover the thematic structure and spatial-temporal patterns of building renovation and adaptive reuse in cities
,,0.61,6,567,Investigating Customer Satisfaction Patterns in a Community Livability Context: An Efficiency-Oriented Decision-Making Approach
,,0.61,2,108,Strategway: Web solutions for building public transportation routes using big geodata analysis
259,Machine Learning Assisted Urban Filling,0.7800,-1,412,A generative architectural and urban design method through artificial neural networks
,,0.70,6,436,Urban morphological feature extraction and multi-dimensional similarity analysis based on deep learning approaches
,,0.70,7,357,Viewpoint: City Information Modelling (CIM) and Digitizing Urban Design Practices
,,0.69,3,558,Application of AI in urban design
,,0.68,6,62,The visual quality of streets: A human-centred continuous measurement based on machine learning algorithms and street view images
,,0.68,7,386,Machine learning for real-time urban metrics and design recommendations
,,0.66,6,360,An investigation of the visual features of urban street vitality using a convolutional neural network
,,0.66,6,15,A machine learning-based method for the large-scale evaluation of the qualities of the urban environment
,,0.66,5,149,"Generative design and performance modeling for relationships between urban built forms, sky opening, solar radiation and energy"
,,0.66,6,43,StreetVizor: Visual Exploration of Human-Scale Urban Forms Based on Street Views
,,0.66,-1,480,Measuring sustainability and urban data operationalization: An integrated computational framework to evaluate and interpret the performance of the urban form
,,0.65,5,287,Learning from urban form to predict building heights
,,0.65,7,555,"Algorithms, AI and architecture"
,,0.65,4,411,Automated classification of building structures for urban built environment identification using machine learning
,,0.65,6,59,A human-machine adversarial scoring framework for urban perception assessment using street-view images
,,0.64,3,218,Procedural lot generation for evolutionary urban layout optimization in urban regeneration decision support
,,0.63,6,390,Holistic visual data representation for built environment assessment
,,0.63,7,402,Will AI ever support design thinking?
,,0.63,-1,88,Understanding cities with machine eyes: A review of deep computer vision in urban analytics
,,0.63,7,317,Towards typogenetic tools for generative urban aesthetics
,,0.62,7,523,Comparative Study on Urban Virtual Modeling Platforms for Urban Planning and Design Practice
,,0.62,6,379,Development of generating system for architectural color icons using google map platform and tensorflow-segmentation
,,0.62,5,146,Multivariate relationships between campus design parameters and energy performance using reinforcement learning and parametric modeling
,,0.62,6,423,Subjectively measured streetscape perceptions to inform urban design strategies for Shanghai
,,0.61,6,470,Evolution of historical urban landscape with computer vision and machine learning: A case study of Berlin
,,0.61,7,569,Designing with citizens: Challenges and evaluation methods for crowd-sourced urban layouts
,,0.61,4,428,Comparing three machine learning techniques for building extraction from a digital surface model
,,0.61,6,546,Variational beauty of space: Machine intuition and non-linear neural aggregations
,,0.61,6,457,4D building reconstruction with machine learning and historical maps
,,0.61,7,556,"18th International Conference on Computer-Aided Architectural Design Futures, CAAD Futures 2019"
391,Artificial Neural Networks as an Architectural Design Tool-Generating New Detail Forms Based on the Roman Corinthian Order Capital,0.7800,-1,412,A generative architectural and urban design method through artificial neural networks
,,0.57,3,558,Application of AI in urban design
,,0.57,6,436,Urban morphological feature extraction and multi-dimensional similarity analysis based on deep learning approaches
,,0.56,-1,259,Machine Learning Assisted Urban Filling
,,0.55,7,556,"18th International Conference on Computer-Aided Architectural Design Futures, CAAD Futures 2019"
,,0.55,7,555,"Algorithms, AI and architecture"
,,0.54,7,402,Will AI ever support design thinking?
,,0.53,7,357,Viewpoint: City Information Modelling (CIM) and Digitizing Urban Design Practices
,,0.53,7,559,ACM International Conference Proceeding Series
,,0.53,4,367,Application of satellite image segmentation for urban planning optimization
,,0.52,6,379,Development of generating system for architectural color icons using google map platform and tensorflow-segmentation
,,0.51,5,572,"Combined gis, cfd and neural network multi-zone model for urban planning and building simulation"
,,0.50,4,411,Automated classification of building structures for urban built environment identification using machine learning
,,0.50,6,366,Digital excavation of mediatized urban heritage: Automated recognition of buildings in image sources
,,0.50,7,317,Towards typogenetic tools for generative urban aesthetics
,,0.50,3,596,A knowledge-based creation of mathematical programming for GIS problem solving
,,0.49,5,146,Multivariate relationships between campus design parameters and energy performance using reinforcement learning and parametric modeling
,,0.49,5,318,AI Technologies in Green Architecture Field: Statistical Comparative Analysis
,,0.48,6,457,4D building reconstruction with machine learning and historical maps
,,0.48,5,149,"Generative design and performance modeling for relationships between urban built forms, sky opening, solar radiation and energy"
,,0.47,3,322,Knowledge and reasoning in development control and urban design: an expert systems approach
,,0.47,3,48,Can expert systems help with planning?
,,0.47,4,444,"Machine learning approach to extract building footprint from high-resolution images: The case study of Makkah, Saudi Arabia"
,,0.47,6,62,The visual quality of streets: A human-centred continuous measurement based on machine learning algorithms and street view images
,,0.47,4,481,Virtual design of urban planning based on GIS big data and machine learning
,,0.47,3,218,Procedural lot generation for evolutionary urban layout optimization in urban regeneration decision support
,,0.46,6,546,Variational beauty of space: Machine intuition and non-linear neural aggregations
,,0.46,4,428,Comparing three machine learning techniques for building extraction from a digital surface model
,,0.46,7,192,Concept of interactive machine learning in urban design problems
,,0.46,5,522,A Machine Learning-Based Method for Predicting Urban Land Use
412,A generative architectural and urban design method through artificial neural networks,0.7800,-1,259,Machine Learning Assisted Urban Filling
,,0.78,-1,391,Artificial Neural Networks as an Architectural Design Tool-Generating New Detail Forms Based on the Roman Corinthian Order Capital
,,0.69,6,436,Urban morphological feature extraction and multi-dimensional similarity analysis based on deep learning approaches
,,0.68,7,556,"18th International Conference on Computer-Aided Architectural Design Futures, CAAD Futures 2019"
,,0.68,7,357,Viewpoint: City Information Modelling (CIM) and Digitizing Urban Design Practices
,,0.65,7,555,"Algorithms, AI and architecture"
,,0.65,5,146,Multivariate relationships between campus design parameters and energy performance using reinforcement learning and parametric modeling
,,0.64,5,287,Learning from urban form to predict building heights
,,0.64,4,411,Automated classification of building structures for urban built environment identification using machine learning
,,0.64,3,558,Application of AI in urban design
,,0.64,5,149,"Generative design and performance modeling for relationships between urban built forms, sky opening, solar radiation and energy"
,,0.63,6,457,4D building reconstruction with machine learning and historical maps
,,0.63,7,402,Will AI ever support design thinking?
,,0.63,3,218,Procedural lot generation for evolutionary urban layout optimization in urban regeneration decision support
,,0.61,4,428,Comparing three machine learning techniques for building extraction from a digital surface model
,,0.60,-1,480,Measuring sustainability and urban data operationalization: An integrated computational framework to evaluate and interpret the performance of the urban form
,,0.59,5,572,"Combined gis, cfd and neural network multi-zone model for urban planning and building simulation"
,,0.59,7,523,Comparative Study on Urban Virtual Modeling Platforms for Urban Planning and Design Practice
,,0.59,4,81,Building extraction from LiDAR data applying deep convolutional neural networks
,,0.59,6,308,Rapid and automated urban modeling techniques for UAS applications
,,0.59,7,317,Towards typogenetic tools for generative urban aesthetics
,,0.58,6,62,The visual quality of streets: A human-centred continuous measurement based on machine learning algorithms and street view images
,,0.58,7,192,Concept of interactive machine learning in urban design problems
,,0.58,6,546,Variational beauty of space: Machine intuition and non-linear neural aggregations
,,0.58,4,460,Use of deep learning models in street-level images to classify one-story unreinforced masonry buildings based on roof diaphragms
,,0.58,7,386,Machine learning for real-time urban metrics and design recommendations
,,0.57,5,479,Estimating the influence of building and urban form on the thermal loads of urban dwellings in the Mediterranean climate using machine learning
,,0.57,6,360,An investigation of the visual features of urban street vitality using a convolutional neural network
,,0.56,5,101,Identifying urban geometric types as energy performance patterns
,,0.56,6,390,Holistic visual data representation for built environment assessment
580,Algorithm for modeling agricultural land cover classification and land surface temperature,0.7800,5,330,Proposing an effective and inexpensive tool to detect urban surface temperature changes associated with urbanization processes in small cities
,,0.75,4,471,"Object-Oriented Approach for Urbanization Growth by Using Remote Sensing and GIS Techniques: A Case Study in Hilla City, Babylon Governorate, Iraq"
,,0.74,4,77,Urban land cover and land use classification of an informal settlement area using the open-source knowledge-based system InterIMAGE
,,0.74,4,113,Evaluation and comparison of eight machine learning models in land use/land cover mapping using Landsat 8 OLI: a case study of the northern region of Iran
,,0.73,5,98,Analysis on spatiotemporal changes of urban thermal landscape pattern in the context of urbanisation: A case study of Xiamen City
,,0.73,4,76,A Random Forests classification method for urban land-use mapping integrating spatial metrics and texture analysis
,,0.72,4,102,Automatic classification of high resolution land cover using a new data weighting procedure: The combination of k-means clustering algorithm and central tendency measures (KMC-CTM)
,,0.72,4,53,Land-cover classification and analysis of change using machine-learning classifiers and multi-temporal remote sensing imagery
,,0.72,4,539,EVALUATION of ADVANCED DATA MINING ALGORITHMS in LAND USE/LAND COVER MAPPING
,,0.72,5,421,"Evaluation of the environmental impacts of urbanization from the viewpoint of increased skin temperatures: a case study from Istanbul, Turkey"
,,0.72,4,521,"Remote sensing and GIS approach for environmental green areas planning using Landsat satellite imagery, Dubai-UAE"
,,0.71,4,68,Analyzing land cover change and urban growth trajectories of the mega-urban region of Dhaka using remotely sensed data and an ensemble classifier
,,0.71,4,147,Geographic object based image analysis of world view-3 imagery for urban hydrologic modelling at the catchment scale
,,0.71,5,414,Evaluating the role of urban fabric on surface urban heat island: The case of Istanbul
,,0.71,5,45,The effect of multi-dimensional indicators on urban thermal conditions
,,0.71,4,245,Accuracy comparison of land cover mapping using the object-oriented image classification with machine learning algorithms
,,0.71,4,17,Land-cover change and environmental impact analysis in the Greater Mankato area of Minnesota using remote sensing and GIS modelling
,,0.70,-1,342,Classification of Urban Functional Areas from Remote Sensing Images and Time-Series User Behavior Data
,,0.70,4,407,"Effects of urbanization on spatiotemporal changes of land cover pattern: A case of Changsha, China"
,,0.70,4,84,Modeling Urban Land Use Changes Using Support Vector Machines
,,0.70,5,564,"Urban sprawl modeling of Lahore, Pakistan using machine learning techniques"
,,0.70,4,548,Land cover classification and change detection analysis of multispectral satellite images using machine learning
,,0.70,4,90,"Spatiotemporal detection of land use/land cover change in the large basin using integrated approaches of remote sensing and GIS in the Upper Awash basin, Ethiopia"
,,0.70,4,166,Analysis of land use and land cover change in a coastal area of Rio de Janeiro using high-resolution remotely sensed data
,,0.69,5,356,Evaluating multivariable statistical methods for downscaling nighttime land surface temperature in urban areas
,,0.69,4,112,Regional mapping of essential urban land use categories in China: A segmentation-based approach
,,0.68,4,182,A comparative analysis of the urban web of the greater athens agglomeration for the last 20-years period on the basis of landsat imagery
,,0.68,5,96,Predicting multiple land use transitions under rapid urbanization and implications for land management and urban planning: The case of Zhanggong District in central China
,,0.68,5,206,Investigating important urban characteristics in the formation of urban heat islands: a machine learning approach
,,0.68,4,540,Machine Learning for Strategic Urban Planning
85,Identification of low-carbon travel block based on GIS hotspot analysis using spatial distribution learning algorithm,0.7600,5,440,"Towards low carbon cities: A machine learning method for predicting urban blocks carbon emissions (UBCE) based on built environment factors (BEF) in Changxing City, China"
,,0.74,5,253,"GIS-enabled digital twin system for sustainable evaluation of carbon emissions: A case study of Jeonju city, south Korea"
,,0.73,6,252,A data-informed analytical approach to human-scale greenway planning: Integrating multi-sourced urban data with machine learning algorithms
,,0.73,6,51,"Impacts of land use and amenities on public transport use, urban planning and design"
,,0.71,5,73,Examining threshold effects of built environment elements on travel-related carbon-dioxide emissions
,,0.71,9,203,Automatic identification of the social functions of areas of interest (AOIS) using the standard hour-day-spectrum approach
,,0.71,-1,463,Machine Learning Predictors for Sustainable Urban Planning
,,0.70,2,335,Research on the big data of traditional taxi and online car-hailing: A systematic review
,,0.70,-1,174,"Comparison of approaches for urban functional zones classification based on multi-source geospatial data: A case study in Yuzhong District, Chongqing, China"
,,0.69,-1,342,Classification of Urban Functional Areas from Remote Sensing Images and Time-Series User Behavior Data
,,0.69,9,419,Unveiling transit mobility structure towards sustainable cities: An integrated graph embedding approach
,,0.68,9,191,Why do people move? Enhancing human mobility prediction using local functions based on public records and SNS data
,,0.67,-1,184,A machine learning-based classification system for urban built-up areas using multiple classifiers and data sources
,,0.67,9,258,Identifying the Structure of Cities by Clustering Using a New Similarity Measure Based on Smart Card Data
,,0.66,9,33,Urban human mobility data mining: An overview
,,0.66,-1,345,"Exploring the dynamics of urban greenness space and their driving factors using geographically weighted regression: A case study in Wuhan Metropolis, China"
,,0.66,5,571,Multi-scale modeling of territorial dynamics of geospatial anthropogenic energy consumption
,,0.66,4,431,"Identifying different types of urban land use dynamics using Point-of-interest (POI) and Random Forest algorithm: The case of Huizhou, China"
,,0.65,9,541,Quantitative relationship model of express service network and service facilities in Beijing
,,0.65,9,574,"Processing, mining and visualizing massive urban data"
,,0.65,9,529,Transaction-Driven Mobility Analysis for Travel Mode Choices
,,0.65,5,297,Sensing Mixed Urban Land-Use Patterns Using Municipal Water Consumption Time Series
,,0.65,5,526,Characterizing air quality in urban areas with mobile measurement and high resolution open spatial data: Comparison of different machine-learning approaches using a visual interface
,,0.65,8,344,Opportunities and challenges of geospatial analysis for promoting urban livability in the era of big data and machine learning
,,0.64,5,222,Estimating quality of life dimensions from urban spatial pattern metrics
,,0.64,6,27,Measuring daily accessed street greenery: A human-scale approach for informing better urban planning practices
,,0.64,6,115,A systematic measurement of street quality through multi-sourced Urban data: A human-oriented analysis
,,0.64,5,96,Predicting multiple land use transitions under rapid urbanization and implications for land management and urban planning: The case of Zhanggong District in central China
,,0.64,2,108,Strategway: Web solutions for building public transportation routes using big geodata analysis
,,0.64,6,336,Delineation of an Urban Community Life Circle Based on a Machine-Learning Estimation of Spatiotemporal Behavioral Demand
129,Artificial intelligence technologies and related urban planning and development concepts: How are they perceived and utilized in Australia?,0.7600,7,433,Nordic Cities Meet Artificial Intelligence
,,0.74,7,489,"AI urbanism: a design framework for governance, program, and platform cognition"
,,0.74,7,4,"On big data, artificial intelligence and smart cities"
,,0.73,8,344,Opportunities and challenges of geospatial analysis for promoting urban livability in the era of big data and machine learning
,,0.73,8,164,Social media data analysis in urban e-planning
,,0.73,7,495,The City of the Future: The Urban (Un) Seen Connecting Citizens and Spaces via Community Sensing
,,0.73,7,282,Towards the collaborative development of machine learning techniques in planning support systems – a Sydney example
,,0.72,7,337,A Review of AI for Urban Planning: Towards Building Sustainable Smart Cities
,,0.72,8,248,A framework to simplify pre-processing location-based social media big data for sustainable urban planning and management
,,0.71,9,92,Cyber Cities: Social Media as a Tool for Understanding Cities
,,0.71,3,509,Urban Planning Reform Trend Based on Artificial Intelligence
,,0.71,7,305,Participatory AI: Reducing AI bias and developing socially responsible AI in smart cities
,,0.70,7,515,Smart urban futures: Outlining the smart city planning project
,,0.70,-1,250,A value of civic voices for smart city: A big data analysis of civic queries posed by Seoul citizens
,,0.70,3,23,Artificial intelligence solutions for urban land dynamics: A review
,,0.69,8,140,How should urban planners be trained to handle big data?
,,0.69,7,525,"5th EAI International Smart City 360 Summit, 2019"
,,0.68,-1,426,Intelligent control systems in urban planning conflicts: Social media users’ perception
,,0.68,8,162,Analyzing Objective and Subjective Data in Social Sciences: Implications for Smart Cities
,,0.68,7,289,Machine learning technologies for sustainability in smart cities in the post-covid era
,,0.67,7,482,Introduction to Urban Computing
,,0.66,7,354,Urban Experiment: Taking Off on the Wind of Al
,,0.66,9,405,Urban computing and smart cities: Opportunities and challenges in modelling large-scale aggregated human behavior
,,0.66,-1,519,IFDaD 2020 - Proceedings of the 1st International Forum on Digital and Democracy. Towards A Sustainable Evolution 2020
,,0.66,3,244,Selecting artificial intelligence urban models using waves of complexity
,,0.65,3,48,Can expert systems help with planning?
,,0.65,-1,463,Machine Learning Predictors for Sustainable Urban Planning
,,0.65,7,377,The future city ecosystem
,,0.64,8,170,Automated classification of social network messages into Smart Cities dimensions
,,0.64,9,341,Applying machine learning and geolocation techniques to social media data (Twitter) to develop a resource for urban planning
194,Classification of sidewalks in street view images,0.7500,-1,536,Urban street contexts classification using convolutional neural networks and streets imagery
,,0.70,6,15,A machine learning-based method for the large-scale evaluation of the qualities of the urban environment
,,0.69,6,271,Urban land use information retrieval based on scene classification of Google Street View images
,,0.69,6,16,Measuring visual enclosure for street walkability: Using machine learning algorithms and Google Street View imagery
,,0.69,4,41,Building block level urban land-use information retrieval based on Google Street View images
,,0.69,6,62,The visual quality of streets: A human-centred continuous measurement based on machine learning algorithms and street view images
