Cluster,DocId,Text,x,y
2,101,automatic classification of high resolution land cover using a new data weighting procedure the combination of clustering algorithm and central tendency measures information on a urban land cover is important for a number of urban planning practices involving tree shade mapping green space analysis urban hydrologic modeling and urban land use mapping in this study an urban land cover dataset received from the database of uci university of california at irvine machine learning was used as the urban land cover data this dataset is the urban area located in deerfield beach fl usa separately this dataset is a high definition atmospheric image consisting of different urban land covers the characteristics of a spectral magnitude and formal tectology were used to sort out and classify these different images the dataset comprises a total of features and land covers of different areas involving trees grass soil concrete asphalt buildings cars pools and shadows a new data weighting method was recommended to classify these different patterns automatically this recommended data weighting method is based on the combination of the measures of central tendency composed of mean value harmonic value mode and median along with the clustering method in the data weighting method the data sets belonging to each class within the dataset are first calculated by using clustering method after which the measures of central tendency belonging to each class are calculated as well the measure of central tendency belonging to each class is divided by the set central value belonging to the class in question as the result of which the data weight coefficient of that class has already been calculated this calculation process is performed separately for different land covers and afterwards these data weighting coefficients found are multiplied by the dataset and thus the dataset has been weighted in the second stage on the other hand different classification algorithms containing neighbor extreme learning machine elm and support vector machine svm were used to classify different urban land covers after the data weighting method in determining the educational and test data sets the cross validation was used when classification through raw data was performed along with for k elm and svm classification algorithms the overall classification accuracy obtained was and respectively when classification through data weighting method the combination of clustering and mode measure along with for k elm and svm classification algorithms was made the overall classification accuracy obtained proved to be and respectively the obtained results suggest that the urban land cover in an atmospheric image via the recommended data weighting method was classified as different areas with a high classification success rate,8.77,0.56
14,102,capturing impressions of pedestrian landscapes used for healing purposes with decision tree learning in medicare health insurance recognized the relationship between pedestrian environments and public health by providing for health care delivered in residential land use in this experiment artificial intelligence ai and landscape architecture la bridge their respective domains to measure and model the pedestrian reaction to walking environments in small town residential community in central texas in the process we gained a deeper understanding of the health motivation of walkers and their empirical relationship to various street environments that they used for health purposes the analytical model we ultimately developed is a flexible tool that facilitates exploration of people perceptions of the landscape how the pedestrian landscapes are functioning in the opinion of its users and how changes to the design of the walking domain may predictably affect physical activity levels with the associated health benefits a pilot study involving participants and six walking environments were used in the development of an analytical model that is significantly and grass roots oriented participant perceptions were measured querying each participant rating of fifty discrete environmental variables taken this data was then analyzed using the decision tree algorithm our primary objective was to capture the pattern walkers engage in when deciding to walk in a particular environment specifically for health purposes and to make this available to the designers of pedestrian environments in transportation corridors the approach gave the designers new insight into the critical variables and the not so critical variables that affected people decision to walk for health purposes the results from the analysis defined measurable environmental variables that form the design for pedestrian activity in the six walking environments in the study area a customized version of decision tree machine learning algorithm rules for designing good pedestrian landscapes for health purposes were extracted from the grass roots surveys the data indicated that variables influencing the decision to walk for health purposes in the study area included weather sound water light and edge of space the analytical model derived from the discipline of artificial intelligence facilitated examining a subset of variables and manipulating of individual or group of these variables to better understand how the built environment affected decisions to walk for different purposes this collaboration was our first phase in developing intelligent tools for designers that provided data to the planner or designer of pedestrian space,5.94,1.18
12,103,simulating urban land use change by integrating a convolutional neural network with cellular automata cellular automata vca models have been applied in land use change simulations at fine scales however the neighborhood effects of the driving factors are rarely considered in the exploration of the transition suitability of cells leading to lower simulation accuracy this study proposes a convolutional neural network cnn model that adopts the cnn to extract the features of the driving factors within a neighborhood of an irregularly shaped cell and discover the relationships between multiple land use changes and driving factors at the neighborhood level the proposed model was applied to simulate urban land use changes in shenzhen china compared with several vca models using other machine learning methods the proposed model obtained the highest simulation accuracy the results indicated that the model can effectively uncover the neighborhood effects of multiple driving factors on the developmental potential of land parcels and obtain more details on the morphological characteristics of land parcels moreover the land use patterns of and under an ecological control strategy were simulated to provide decision support for urban planning,7.58,2.57
0,104,progressively expanded neural network pen net for hyperspectral image classification a new neural network paradigm for remote sensing image analysis hyperspectral image hsi has been used for a wide range of applications including forestry urban planning and precision agriculture in recent years machine learning based algorithms such as support vector machines decision trees ensemble learning and their variations have shown promising results in hsi analysis such methodologies nevertheless can lead to insufficient information abstraction in interpreting hyperspectral pixels in this paper we propose a novel neural network based classification algorithm named progressively expanded neural network pen net that can effectively interpret hyperspectral pixels in nonlinear feature spaces and then determine their categories furthermore a hsi classification framework is also introduced to test the generality and robustness of the pen net experimental results on four standard hyperspectral datasets illustrate that pen net classifier yields better accuracy and competitive processing speed in hsi classification tasks compared to the methods layer based pen net generally provides better performance than single hidden layer one combination of spectral and spatial features in the pen net classifier can significantly improve the classification accuracy by compared to the spectral only based hsi classification this study implies that the proposed neural network architecture opens a new window for future research and the potential for remote sensing image analysis,8.7,-0.4
7,105,urban traffic flow analysis based on deep learning car detection from cctv image series traffic flow analysis is fundamental for urban planning and management of road traffic infrastructure automatic number plate recognition anpr systems are conventional methods for vehicle detection and travel times estimation however such systems are specifically focused on car plates providing a limited extent of road users the advance of deep learning convolutional neural networks cnn in combination with television cctv datasets have offered the opportunities for detection and classification of various road users the research presented here aims to analyse traffic flow patterns through cnn models on low quality imagery as captured in various weather conditions and seasons of the year such imagery is collected from the north east combined authority neca travel and transport data newcastle upon tyne uk results show that the mobilenet model with precision recall and harmonic mean could potentially be used for a real time traffic monitoring application with big data due to its fast performance compared to mobilenet the faster region proposal model providing a better harmonic mean recall and more accurate estimations of car units could be used for traffic analysis applications that demand higher accuracy than speed this research ultimately exploits machine learning alogrithms for a wider understanding of traffic congestion and disruption under social events and extreme weather conditions,3.43,3.76
3,106,structure of service requests as a signature of urban location while urban systems demonstrate high spatial heterogeneity many urban planning economic and political decisions heavily rely on a deep understanding of local neighborhood contexts we show that the structure of service requests enables one possible way of building a unique signature of the local urban context thus being able to serve as a decision support tool for urban stakeholders considering examples of new york city boston and chicago we demonstrate how service requests recorded and categorized by type in each neighborhood can be utilized to generate a meaningful classification of locations across the city based on distinctive socioeconomic profiles moreover the classification of urban neighborhoods can present sufficient information to model various socioeconomic features finally we show that these characteristics are capable of predicting future trends in comparative local real estate prices we demonstrate service requests data can be used to monitor and predict socioeconomic performance of urban neighborhoods allowing urban stakeholders to quantify the impacts of their interventions this is an open access article distributed under the terms of the creative commons attribution license which permits unrestricted use distribution and reproduction in any medium provided the original author and source are credited,4.79,2.04
7,107,strategway web solutions for building public transportation routes using big geodata analysis we propose strategway a group of web solutions for public transportation route planning based on real obtained from city residents the idea behind the solution is to use collected data about city residents transportation needs residents preferences and to build an optimal route network minimizing total cost of ownership as transportation preferences of people are represented as a large set of geoobjects machine learning algorithms were modified to take geodata specifics into account strategway includes the analytics core for data gathering clustering and route design based on machine learning techniques these features can be considered as contribution in smart algorithms for urban planning systems pseudocode of main algorithms with novel additions are represented in the paper as the results of some case studies future work is declared in the end to highlight the ways of contribution to the domain of analytics as a web service,4.02,3.1
2,108,comparative assessment of machine learning methods for urban vegetation mapping using multitemporal imagery mapping of green vegetation in urban areas using remote sensing techniques can be used as a tool for integrated spatial planning to deal with urban challenges in this context multitemporal mt synthetic aperture radar sar data have not been equally investigated as compared to optical satellite data this research compared various machine learning methods using and mt imagery the research was focused on vegetation mapping in urban areas across europe urban vegetation was classified using six forests rf support vector machine svm extreme gradient boosting xgb perceptron mlp adaboost ab and extreme learning machine elm whereas svm showed the best performance in the image analysis the mlp classifier yielded the highest overall accuracy in the mt classification scenario mean overall accuracy oa values for all machine learning methods increased from to with speckle filtering using mt sar data three and five imagery an additional increase in the oa of and occurred respectively additionally using three and five imagery for classification the measure for forest and low vegetation class exceeded this research allowed us to confirm the possibility of mt sar imagery for urban vegetation mapping,8.68,0.23
2,109,deprivation pockets through the lens of convolutional neural networks machine learning techniques have been frequently applied to map urban deprivation commonly referred to as slums in very satellite images among these deep convolutional neural networks have shown exceptional efficiency in automated deprivation mapping at the local scale yet these networks have never been used to map very small heterogeneous deprivation areas pockets at large scale this study proposes and evaluates a model to map deprivation pockets in bangalore india the model only relies on rgb satellite images with a resolution of m as these are more commonly accessible to local urban planning departments the experiment assumes a practical situation where only limited reference data is available for the model to learn the spatial morphology of deprivation pockets it tests whether an updated map of deprivation pockets can be obtained with limited information the model performance to map a large number of deprivation pockets is examined by incrementally changing the model architecture and the amount of training data results show that the proposed model is sensitive to the amount of spatial information contained in the training data once sufficient spatial information is learnt through a few samples the city scale mapping accuracy outperforms existing models in mapping small deprivation pockets achieving a jaccard index of this study demonstrated that a convolutional neural network can map the existence extent as well as distribution patterns of deprivation pockets at the city scale with limited training data which is essential for upscaling research outputs to provide important information for the formulation of policies,7.65,0.39
0,110,road centerline extraction from aerial image and lidar data based on road connectivity the road networks provide key information for a broad range of applications such as urban planning urban management and navigation the technology of remote sensing that acquires observational data of the land surface offers opportunities for automatic extraction of road networks however the road networks extracted from remote sensing images are likely affected by shadows and trees making the road map irregular and inaccurate this research aims to improve the extraction of road centerlines using both vhr aerial images and light detection and ranging lidar by accounting for road connectivity the proposed method first applies the fractal net evolution approach fnea to segment remote sensing images into image objects and then classifies image objects using the machine learning classifier random forest a approach based on the minimum area bounding rectangle mabr is proposed and a structure feature index is adopted to obtain the complete road networks finally a multistep approach that is morphology thinning harris corner detection and least square fitting mhl approach is designed to accurately extract the road centerlines from the complex road networks the proposed method is applied to three datasets including the new york dataset obtained from the object identification dataset the vaihingen dataset obtained from the international society for photogrammetry and remote sensing isprs semantic labelling benchmark and guangzhou dataset compared with two methods the proposed method can obtain the highest completeness correctness and quality for the three datasets the experiment results show that the proposed method is an efficient solution for extracting road centerlines in complex scenes from vhr aerial images and light detection and ranging lidar data,8.02,-0.58
2,111,regional mapping of essential urban land use categories in china a approach understanding distributions of urban land use is of great importance for urban planning decision support and resource allocation the first mapping results of essential urban land use categories euluc in china for have been recently released however such kind of national maps may not sufficiently meet the growing demand for regional analysis to address this shortcoming here we proposed a framework named to improve the mapping results of euluc at the city scale an segmentation approach was first applied to generate the basic mapping units within urban parcels multiple features derived from remotely sensed and social sensing data were updated and then recalculated within each unit random forest was adopted as the machine learning algorithm for classifying urban land use into five level i classes and twelve level ii classes finally an accuracy assessment was carried out based on a collection of manually interpreted samples results showed that our derived map achieved an overall accuracy of for level i and for level ii the accurate and refined map of is expected to better support various applications in the future,8.12,0.79
2,112,evaluation and comparison of eight machine learning models in land cover mapping using landsat oli a case study of the northern region of iran land use land cover change mapping has been used for monitoring environmental changes as an essential factor to study on the earth s surface land cover in the field of climate change phenomena such as floods and droughts remote sensing images have been suggested to present inexpensive and data offering coverage this tool is useful in the field of environmental monitoring mapping and urban planning this study aims to evaluate eight machine learning algorithms for image classification implemented in weka and r programming language firstly landsat images based on eight machine learning techniques including random forest decision table dtnb lazy ibk multilayer perceptron generalized exemplars nn ge and simple logistic are classified then obtained results are compared in term of overall accuracy oa mean absolute error mae and root mean squared error rmse for land use land cover mapping among the eight machine learning algorithms used for image classification based on the training and test dataset nn ge classifier is ranked first with values of and for overall accuracy mean absolute error and root mean squared error respectively all machine learning algorithms had an overall accuracy of more than for the training dataset on the other hand for the test dataset and dtnb algorithms had the worst performance with values of and respectively for the overall accuracy,8.74,0.45
5,113,model for cross ventilation potential in cities based on coupled cfd simulation and machine learning effective urban ventilation through decent urban planning and building design can alleviate the deterioration of the urban built environment however natural ventilation requirements and guidelines in current building codes and standards are either qualitative or quantitative but subject to an absolute indoor airspeed threshold without considering the outdoor wind environment to fill this gap this paper develops an coupled indoor and outdoor computational fluid dynamics cfd model and defines a novel ventilation index to assess natural ventilation potential the index considers wind environments of both indoor and outdoor spaces first the coupled cfd model is developed to study cross ventilation in cities a isothermal cfd simulation is solved using the rng turbulent model the simulation results are compared with wind tunnel experiment data from literature second six key design variables are used to generate parametric design variations for natural ventilation assessment third a novel integrated index cioiv coupled indoor and outdoor interaction is proposed to evaluate the wind speed ratio between the indoor area and outdoor reference area for demonstration cioiv is used to represent cioiv on the ground level cioiv models are developed to predict indoor building ventilation potential for quick early design support compared with multivariate linear regression model the gradient boosting model displays much higher prediction accuracy mean absolute percentage error with in early design stage designers and engineers can skip the computational expensive cfd simulations and use this model to quickly check the building natural ventilation potentials of different design options in an urban environment,8.77,3.65
14,114,a systematic measurement of street quality through urban data a analysis many studies have been made on street quality physical activity and public health however most studies so far have focused on only few features such as street greenery or accessibility these features fail to capture people s holistic perceptions the potential of fine grained urban data creates new research avenues for addressing intangible issues related to the built environment this study proposes a systematic quantitative approach for measuring street quality with the support of urban data taking yangpu district in shanghai as case study this holistic approach combines typical and new urban data in order to measure street quality with a perspective this composite measure of street quality is based on the dimensions density diversity design destination accessibility and distance to transit they are combined as a collection of new urban data and research techniques including service lbs positioning data points of interest pois elements and visual quality of images extraction with supervised machine learning and accessibility metrics using network science according to these quantitative measurements from the five aspects streets were classified into eight feature clusters and three types reflecting the value of street quality using a hierarchical clustering method the classification was tested with experts the analytical framework developed through this study contributes to urban planning practices to further encourage physical activity and public health,6.31,1.14
11,115,inferring pedestrian motions at urban crosswalks robust prediction of pedestrian behavior is one of the most challenging problems for autonomous driving particularly predicting pedestrian crossings at crosswalks is of considerable importance for avoiding accidents on the one hand and not unnecessarily slowing down traffic on the other hand traditional motion tracking and prediction approaches have difficulties in capturing abrupt changes in motions as humans can perform them in this paper an approach for predicting pedestrian motions that combines established motion tracking algorithms with methods is presented the approach is built upon a hierarchical structure where first the intent of each pedestrian is classified then the approach computes several qualitative metrics such as for the pedestrians classified as crossing the approach is evaluated on a challenging urban data set collected for different types of crosswalks such as roundabouts and straight roads the evaluation also provides a thorough analysis of the generalization performance of the proposed approach,3.97,3.97
4,116,structure and information in spatial segregation ethnoracial residential segregation is a complex multiscalar phenomenon with immense moral and economic costs modeling the structure and dynamics of segregation is a pressing problem for sociology and urban planning but existing methods have limitations in this paper we develop a suite of methods grounded in information theory for studying the spatial structure of segregation we first advance existing profile and decomposition methods by posing two related regionalization methods which allow for profile curves with nonconstant spatial scale and decomposition analysis with nonarbitrary areal units we then formulate a measure of local spatial scale which may be used for both detailed analysis and intercity comparisons these methods highlight detailed insights in the structure and dynamics of urban segregation that would be otherwise easy to miss or difficult to quantify they are computationally efficient applicable to a broad range of study questions and freely available in open source software,5.26,1.58
7,117,automated urban travel interpretation a approach for trajectory segmentation understanding travel behavior is critical for an effective urban planning as well as for enabling various service provisions to support mobility as a service maas both applications rely on the sensor traces generated by travellers smartphones these traces can be used to interpret travel modes both for generating automated travel diaries as well as for travel mode detection current approaches segment a trajectory by certain criteria drop in speed however these criteria are heuristic and thus existing approaches are subjective and involve significant vagueness and uncertainty in activity transitions in space and time also segmentation approaches are not suited for real time interpretation of segments and can not cope with the frequent gaps in the location traces in order to address all these challenges a novel state based approach is proposed this approach assumes a fixed atomic segment of a homogeneous state instead of an segment and a progressive iteration until a new state is found the research investigates how an atomic approach can be developed in such a way that can work in real time time and offline mode and in different environmental conditions with their varying quality of sensor traces the results show the proposed model outperforms the existing segmentation models in terms of adaptivity flexibility accuracy and richness in information delivery pertinent to automated travel behavior interpretation,3.7,2.63
5,118,a approach for building energy modeling for analysis planning and support decision making urban planners local authorities and energy policymakers often develop strategic sustainable energy plans for the urban building stock in order to minimize overall energy consumption and emissions planning at such scales could be informed by building stock modeling using existing building data and geographic information mapping however implementing these processes involves several issues namely data availability data inconsistency data scalability data integration geocoding and data privacy this research addresses the aforementioned information challenges by proposing a generalized integrated methodology that implements and spatial modeling approaches for geographic information system mapping of building energy modeling this study uses the irish building stock to map building energy performance at multiple scales the generalized methodology uses approximately irish energy performance certificates buildings data to predict more than million buildings energy performance in this case the approach delivers a prediction accuracy of using deep learning algorithms these prediction results are then used for spatial modeling at multiple scales from the individual building level to a national level furthermore these maps are coupled with available spatial resources social economic or environmental data for energy planning analysis and support the modeling results identify clusters of buildings that have a significant potential for energy savings within any specific region geographic information modeling aids stakeholders in identifying priority areas for implementing energy efficiency measures furthermore the stakeholders could target local communities for retrofit campaigns which would enhance the implementation of sustainable energy policy decisions,8.5,3.82
9,119,landslide susceptibility assessment of wildfire burnt areas through techniques and a machine approach climate change has increased the likelihood of the occurrence of disasters like wildfires floods storms and landslides worldwide in the last years weather conditions change continuously and rapidly and wildfires are occurring repeatedly and diffusing with higher intensity the burnt catchments are known in many parts of the world as one of the main sensitive areas to debris flows characterized by different trigger mechanisms and debris debris flow the large number of studies produced in recent decades has shown how the response of a watershed to precipitation can be extremely variable depending on several conditions as well as the characteristics of precipitation duration and intensity moreover the availability of satellite data has significantly improved the ability to identify the areas affected by wildfires and even more importantly to carry out assessment of burnt areas many difficulties have to be faced in attempting to assess landslide risk in burnt areas which present a higher likelihood of occurrence in densely populated neighbourhoods human activities can be the cause of the origin of the fires the latter is in fact one of the main operations used by man to remove vegetation along slopes in an attempt to claim new land for pastures or construction purposes regarding the study area the camaldoli and agnano hill naples italy fires seem to act as a predisposing factor while the triggering factor is usually represented by precipitation eleven predisposing factors were chosen and estimated according to previous knowledge of the territory and a database consisting of landslides was adopted the present work aimed to expand the knowledge of the relationship existing between the triggering of landslides and burnt areas through the following phases processing of the thematic maps of the burnt areas through band compositions of satellite images and landslide susceptibility assessment through the application of a new statistical approach machine learning techniques the analysis has the scope to support decision makers and local agencies in urban planning and safety monitoring of the environment,9.3,1.18
9,120,allocation of emergency response centres in response to pluvial demand points using integrated multiple layer perceptron and maximum coverage location problem models the increases in the frequency and intensity of rainfall events due to global climate change and the development of additional pavement roads and water storage sites due to population growth have enhanced the probability of pluvial flooding pf in urban areas the estimation of urban pluvial flood vulnerability and prompt emergency responses are crucial steps towards urban planning and risk mitigation however uncertainties exist in the optimal allocation of emergency response centres ercs this study assessed the current situation of ercs in terms of demand points in this study fire and police stations hospitals and military camps were defined as ercs and residential buildings where people spend most of their time were considered demand points our study area was damansara city in peninsular malaysia which is frequently affected by pf we combined an optimised pf probability model with ideal location allocation methods on a geographic information system platform to construct the proposed model for achieving accurate erc spatial planning firstly urban areas were identified using a recent machine learning multiple layer perceptron mlp model then a taguchi method was used to calibrate the mlp variables namely seed momentum learning rate hidden layer attribute and class fourteen important pf contributing parameters were weighted on the basis of historical flood events the predicted areas were validated by comparing the predictions with the data from meteorological stations and observed inventory events in addition the current locations of ercs were utilised in the location allocation model to assess the ideal time for providing essential services to elements at risk minimum impedance and maximum coverage location problem models were implemented to assess the current allocated location of ercs and multiple scenarios the coverage of existing ercs was calculated and their suitable and optimal locations were projected for vulnerable inhabitants with either redundant or late emergency response results showed that areas near downtown have high pf probability but are not covered by ercs within the standard km radius the proposed model can conserve time reduce cost and save human lives by ensuring that vulnerable people in the damansara river basin are covered by the nearest erc,8.61,2.04
7,121,safe reinforcement learning with scene decomposition for navigating complex urban environments navigating urban environments represents a complex task for automated vehicles they must reach their goal safely and efficiently while considering a multitude of traffic participants we propose a modular decision making algorithm to autonomously navigate intersections addressing challenges of existing and reinforcement learning rl approaches we first present a safe rl algorithm relying on a to ensure safety guarantees to make the decision strategy robust to perception errors and occlusions we introduce a belief update technique using a learning based approach finally we use a scene decomposition approach to scale our algorithm to environments with multiple traffic participants we empirically demonstrate that our algorithm outperforms methods and reinforcement learning techniques on a complex intersection scenario,3.8,4.03
7,122,smart mobile crowdsensing with urban vehicles a deep reinforcement learning perspective mobile crowdsensing mcs is a promising sensing paradigm based on the mobile node which provides the solution with to perform urban data collection to monitor the urban environment and facilitate the municipal administration more and more applications adopt vehicles as participants to carry out mcs tasks the performance of the applications highly depends on the sensing data which is influenced by the recruiting strategy on vehicles in this paper we propose a novel vehicle selection algorithm to maximize the sensing range with limited cost while the vehicle selection problem was proved to be specifically we modeled the interaction between mcs server and candidate vehicles as a markov decision process and formulated the maximum spatial temporal coverage stc optimization as a deep reinforcement learning process the performance of our deep reinforcement vehicle selection drlvs algorithm is evaluated with real trajectory dataset the numerical result indicates that the proposed algorithm achieves an optimal solution and maximizes the stc,4.04,3.79
3,123,where to go and what to do extracting leisure activity potentials from web data on urban space web data is the most prominent source of information for deciding where to go and what to do exploiting this source for geographic analysis however does not come without difficulties first in recent years the amount and diversity of available web information about urban space have exploded and it is therefore increasingly difficult to overview and exploit second the bulk of information is in an unstructured form which is difficult to process and interpret by computers third sources such as web rankings geolocated tags or mobile sensor data do not fully reflect the more subtle qualities of a place including the particular functions that make it attractive in this article we explore a method to capture leisure activity potentials from web data on urban space using semantic topic models we test three supervised machine learning strategies exploiting geolocated webtexts and place tags to estimate whether a given type of leisure activity is afforded or not we train and validate these models on a manually curated dataset labeled with leisure ontology classes for the city of zwolle and discuss their potential for urban leisure and tourism research and related city policies and planning we found that affordance estimation is not straightforward but can be made to work using both official webtexts and content on a medium semantic level this opens up new opportunities for approaches to urban leisure and tourism studies,4.48,1.66
0,124,detection of vehicles using combined optical and elevation data the detection of vehicles is an important and challenging topic that is relevant for many applications in this work we present a workflow that utilizes optical and elevation data to detect vehicles in remotely sensed urban data this workflow consists of three consecutive stages candidate identification classification and single vehicle extraction unlike in most previous approaches fusion of both data sources is strongly pursued at all stages while the first stage utilizes the fact that most objects are rectangular in shape the second and third stages employ machine learning techniques combined with specific features the stages are designed to handle multiple sensor input which results in a significant improvement a detailed evaluation shows the benefits of our workflow which includes features even in comparison with classification approaches based on convolutional neural networks which are state of the art in computer vision we could obtain a comparable or superior performance score of,8.34,-0.96
13,125,mapping of anthropogenic impervious surfaces in an area using landsat satellite data impervious surfaces have a significant impact on urban runoff groundwater base flow water quality and climate increase in anthropogenic impervious surfaces ais for a region is a true representation of urban expansion monitoring of ais in an urban region is helpful for better urban planning and resource management cost effective and efficient maps of ais can be obtained for larger areas using remote sensing techniques in the present study extraction of ais has been carried out using double window flexible pace search dfps from a new index named as normalized difference impervious surface index ndaisi ndaisi is developed by enhancing biophysical composition index bci in two stages using a new modified normalized difference soil index mndsi mndsi has been developed from band and band pan of landsat data in comparison to existing impervious surface extraction methods the new ndaisi approach is able to improve spectral discrimination index sdi for bare soil and ais significantly overall accuracy of mapping of ais using ndaisi approach has been found to be increased by nearly when compared with existing impervious surface extraction methods,8.74,1.25
3,126,using abstractions to solve opportunistic crime security games at scale in this paper we aim to deter urban crime by recommending optimal police patrol strategies against opportunistic criminals in large scale urban problems while previous work has tried to learn criminals behavior from real world data and generate patrol strategies against opportunistic crimes it can not scale up to urban problems our first contribution is a game abstraction framework that can handle opportunistic crimes in urban areas in this game abstraction framework we model the interaction between officers and opportunistic criminals as a game with discrete targets by merging similar targets we obtain an abstract game with fewer total targets we use real world data to learn and plan against opportunistic criminals in this abstract game and then propagate the results of this abstract game back to the original game our second contribution is the algorithm used to merge targets as described in the framework above this algorithm applies a mixed integer linear program milp to merge similar and geographically neighboring targets in the large scale problem as our third contribution we propose a planning algorithm that recommends a mixed strategy against opportunistic criminals finally our fourth contribution is a heuristic propagation model to handle the problem of limited data we occasionally encounter in problems as part of our collaboration with local police departments we apply our model in two large scale urban problems a university campus and a city our approach provides high prediction accuracy in the real datasets furthermore we project significant crime rate reduction using our planning strategy compared to current police strategy,4.7,2.55
4,127,the conceptual basis of nexus governance systematic literature review using network and discourse analysis in the last decade the debate on the governance of water energy and food wef has intensified spurring the emergence of the term nexus in general the reduction of and construction of synergies between wef have been placed on the scientific political and economic agenda however although increasingly used it is difficult to find a clear meaning and definition of what the term represents based on a systematic literature review slr using and machine learning algorithms this article investigates what are the conceptual basis of the nexus governance debate and attempts to clarify the main themes networks and gaps within this literature the analysis is based on quantitative and qualitative methods combining social network analysis sna and discourse analysis da the results highlighted that concepts support this literature breaking down into eight groups water and basin governance environmental and systems governance risk and resource security governance economic governance global governance urban governance integrative and cooperative governance and epistemic and transdisciplinary governance published by informa uk limited trading as taylor francis group,6.29,2.57
1,128,artificial intelligence technologies and related urban planning and development concepts how are they perceived and utilized in australia artificial intelligence ai is a powerful technology with an increasing popularity and applications in areas ranging from marketing to banking and finance from agriculture to healthcare and security from space exploration to robotics and transport and from chatbots to artificial creativity and manufacturing although many of these areas closely relate to the urban context there is limited understanding of the trending ai technologies and their application the urban planning and development fields similarly there is a knowledge gap in how the public perceives ai technologies their application areas and the policies and practices of our cities this study aims to advance our understanding of the relationship between the key ai technologies n and their key application areas n in urban planning and development to this end this study examines public perceptions of how ai technologies and their application areas in urban planning and development are perceived and utilized in the testbed case study of australian states and territories the methodological approach of this study employs the social media analytics method and conducts sentiment and content analyses of twitter messages n from australia the results disclose that a digital transformation innovation and sustainability are the most popular ai application areas in urban planning and development b drones automation robotics and big data are the most popular ai technologies utilized in urban planning and development and c achieving the digital transformation and sustainability of cities through the use of ai as big data automation and the central community discussion topic,5.81,3.54
9,129,comparison of random forest model and frequency ratio model for landslide susceptibility mapping lsm in yunyang county chongqing china to compare the random forest rf model and the frequency ratio fr model for landslide susceptibility mapping lsm this research selected yunyang country as the study area for its frequent natural disasters especially landslides a landslide inventory was built by historical records satellite images and extensive field surveys subsequently a geospatial database was established based on historical landslides in the study area then all the landslides were randomly divided into two datasets of them were used as the training dataset and as the test dataset furthermore under five primary conditioning factors topography factors geological factors environmental factors human engineering activities and triggering factors secondary conditioning factors were selected to form an evaluation factor library for analyzing the landslide susceptibility on this basis the rf model training and the fr model mathematical analysis were performed and the established models were used for the landslide susceptibility simulation in the entire area of yunyang county next based on the analysis results the susceptibility maps were divided into five classes very low low medium high and very high in addition the importance of conditioning factors was ranked and the influence of landslides was explored by using the rf model the area under the curve auc value of receiver operating characteristic roc curve precision accuracy and recall ratio were used to analyze the predictive ability of the above two lsm models the results indicated a difference in the performances between the two models the rf model auc performed better than the fr model auc moreover compared with the fr model the rf model showed a higher coincidence degree between the areas in the high and the very low susceptibility classes on the one hand and the geographical spatial distribution of historical landslides on the other hand therefore it was concluded that the rf model was more suitable for landslide susceptibility evaluation in yunyang county because of its significant model performance reliability and stability the outcome also provided a theoretical basis for application of machine learning techniques rf in landslide prevention mitigation and urban planning so as to deliver an adequate response to the increasing demand for effective and tools in landslide susceptibility assessments,9.31,1.14
